Titre :;Crédits des non IFM résidentes auprès des IFM, administrations centrales et banques postales, encours;Crédits des non-IFM hors APU résidentes auprès des IFM, administrations centrales et banques postales, encours;Crédits des non IFM résidentes auprès des IFM, administrations centrales et banques postales, flux;Crédits des non-IFM hors APU résidentes auprès des IFM, administrations centrales et banques postales, flux
Code série :;BSI1.M.FR.N.V.A20.A.1.U6.2000.Z01.E;BSI1.M.FR.N.V.A20.A.1.U6.2200.Z01.E;BSI1.M.FR.N.V.A20.A.4.U6.2000.Z01.E;BSI1.M.FR.N.V.A20.A.4.U6.2200.Z01.E
Unité :;Euro (EUR);Euro (EUR);Euro (EUR);Euro (EUR)
Magnitude :;Millions (6);Millions (6);Millions (6);Millions (6)
Méthode d'observation :;Fin de période (E);Fin de période (E);Fin de période (E);Fin de période (E)
Source :;Banque de France (FR2);Banque de France (FR2);Banque de France (FR2);Banque de France (FR2)
Avr 2015;2337048;2124406;21737;21809
Mar 2015;2317012;2104291;12407;11185
Fév 2015;2305128;2094643;2758;10269
Jan 2015;2303010;2080105;4755;-666
Déc 2014;2293075;2078379;12923;8464
Nov 2014;2280104;2064400;-960;-858
Oct 2014;2281418;2065612;-1434;-3609
Sep 2014;2283404;2069773;15480;16422
Aoû 2014;2267156;2052591;-6333;-7116
Jul 2014;2273445;2059666;-247;-2964
Jun 2014;2273657;2062598;4557;5222
Mai 2014;2269473;2057749;-47219;-47409
Avr 2014;2316558;2105027;16001;15662
Mar 2014;2300955;2089762;7942;8936
Fév 2014;2293443;2081256;9121;10154
Jan 2014;2287443;2074220;6584;6485
Déc 2013;2280569;2067450;-3663;-3704
Nov 2013;2284652;2071571;-4070;-4238
Oct 2013;2288976;2076064;603;-1244
Sep 2013;2289382;2078309;6538;7566
Aoû 2013;2283238;2071138;-3519;-3414
Jul 2013;2286732;2074530;2660;-1940
Jun 2013;2284997;2077391;-8657;-7577
Mai 2013;2293053;2084367;5677;5527
Avr 2013;2289002;2080463;9824;8107
Mar 2013;2280156;2073329;7025;7420
Fév 2013;2272736;2065521;-3283;-770
Jan 2013;2275646;2066425;14430;11973
Déc 2012;2263692;2056909;8747;8245
Nov 2012;2255914;2049628;-1093;-2080
Oct 2012;2257485;2052185;11008;3757
Sep 2012;2247022;2048972;14968;16019
Aoû 2012;2233597;2034487;-8036;-8087
Jul 2012;2242507;2043440;6301;4119
Jun 2012;2238159;2041283;8455;8292
Mai 2012;2230579;2033846;6164;6504
Avr 2012;2223238;2026184;-3366;-6164
Mar 2012;2227714;2033464;358;1490
Fév 2012;2228162;2032782;-3276;-1404
Jan 2012;2232391;2035631;21455;19162
Déc 2011;2211414;2016345;-9876;-14559
Nov 2011;2220767;2030396;-10551;-11068
Oct 2011;2230360;2040521;-1206;-2507
Sep 2011;2233146;2044592;11003;10352
Aoû 2011;2221591;2031755;-3985;-3757
Jul 2011;2226866;2038740;12284;11423
Jun 2011;2212940;2025700;9007;10165
Mai 2011;2204187;2015791;939;10216
Avr 2011;2201275;2003633;16205;22508
Mar 2011;2185046;1981083;532;4580
Fév 2011;2178971;1971746;5610;7316
Jan 2011;2153381;1937946;9996;9326
Déc 2010;2145363;1930572;12030;1948
Nov 2010;2135230;1930512;21226;18440
Oct 2010;2110425;1908557;7927;8913
Sep 2010;2104036;1901161;12449;12950
Aoû 2010;2095673;1892233;1828;-1909
Jul 2010;2092140;1892472;1641;11626
Jun 2010;2093383;1883682;8215;-1360
Mai 2010;2084184;1884083;6846;5886
Avr 2010;2074626;1875540;6762;9539
Mar 2010;2067761;1865905;17989;10230
Fév 2010;2049553;1855467;-881;1833
Jan 2010;2050165;1853383;9195;8498
Déc 2009;2023585;1827527;5462;-1832
Nov 2009;2013557;1824821;8155;3781
Oct 2009;2006166;1821797;2314;-2181
Sep 2009;2004558;1824677;5592;5959
Aoû 2009;1999959;1819698;-2562;-8487
Jul 2009;2002959;1828619;-2743;-254
Jun 2009;2006052;1829221;2680;-3709
Mai 2009;2003778;1833335;861;533
Avr 2009;2004853;1834705;-6212;-7414
Mar 2009;2010944;1842006;6329;4424
Fév 2009;2007204;1840130;-19401;-5949
Jan 2009;2026921;1846398;10306;3597
Déc 2008;2013546;1839794;-36850;-21643
Nov 2008;2054391;1865379;7511;7301
Oct 2008;2047974;1859160;12782;11281
Sep 2008;2029828;1842616;20589;17717
Aoû 2008;2008037;1823725;-7017;-9604
