Libellé;Intra UEM - Administrations centrales et IFM - Agrégat de monnaie M1 - Intra UEM - Autres résidents et administrations publiques non centrales - Encours - Série arrêtée;Intra UEM - Administrations centrales et IFM - Agrégat de monnaie M1 - Intra UEM - Autres résidents et administrations publiques non centrales - Flux net - Série arrêtée;Intra UEM - Administrations centrales et IFM - Agrégat de monnaie M2 - Intra UEM - Autres résidents et administrations publiques non centrales - Encours - Série arrêtée;Intra UEM - Administrations centrales et IFM - Agrégat de monnaie M2 - Intra UEM - Autres résidents et administrations publiques non centrales - Flux net - Série arrêtée;Intra UEM - Administrations centrales et IFM - Agrégat de monnaie M2-M1 - Intra UEM - Autres résidents et administrations publiques non centrales - Encours - Série arrêtée;Intra UEM - Administrations centrales et IFM - Agrégat de monnaie M3 - Intra UEM - Autres résidents et administrations publiques non centrales - Encours - Série arrêtée;Intra UEM - Administrations centrales et IFM - Agrégat de monnaie M3 - Intra UEM - Autres résidents et administrations publiques non centrales - Flux net - Série arrêtée;Intra UEM - Administrations centrales et IFM - Agrégat de monnaie M3-M2 - Intra UEM - Autres résidents et administrations publiques non centrales - Encours - Série arrêtée;France - Banques centrales nationales - Administrations centrales et IFM - Agrégat de monnaie M1 - Inférieur ou égal à 3 mois - Autres résidents et administrations publiques non centrales - Encours - Série arrêtée;France - Banques centrales nationales - Administrations centrales et IFM - Agrégat de monnaie M2 - Inférieur ou égal à 3 mois - Autres résidents et administrations publiques non centrales - Encours - Série arrêtée;France - Banques centrales nationales - Administrations centrales et IFM - Agrégat de monnaie M3 - Inférieur ou égal à 3 mois - Autres résidents et administrations publiques non centrales - Encours - Série arrêtée;France - Administrations centrales et IFM - Agrégat de monnaie M1 - Intra UEM - Autres résidents et administrations publiques non centrales - Flux net - Série arrêtée;France - Administrations centrales et IFM - Agrégat de monnaie M2 - Intra UEM - Autres résidents et administrations publiques non centrales - Flux net - Série arrêtée;France - Administrations centrales et IFM - Agrégat de monnaie M3 - Intra UEM - Autres résidents et administrations publiques non centrales - Flux net - Série arrêtée;Intra UEM - Administrations centrales et IFM - Agrégat de monnaie M2-M1 - Intra UEM - Autres résidents et administrations publiques non centrales - Flux net - Série arrêtée;Intra UEM - Administrations centrales et IFM - Agrégat de monnaie M3-M2 - Intra UEM - Autres résidents et administrations publiques non centrales - Flux net - Série arrêtée;Intra UEM - Administrations centrales et IFM - Agrégat de monnaie M2 - Intra UEM - Autres résidents et administrations publiques non centrales - Taux d'intérêt - Série arrêtée;Intra UEM - Administrations centrales et IFM - Agrégat de monnaie M2-M1 - Intra UEM - Autres résidents et administrations publiques non centrales - Taux d'intérêt - Série arrêtée;Intra UEM - Administrations centrales et IFM - Agrégat de monnaie M3 - Intra UEM - Autres résidents et administrations publiques non centrales - Taux d'intérêt - Série arrêtée;Intra UEM - Administrations centrales et IFM - Agrégat de monnaie M3-M2 - Intra UEM - Autres résidents et administrations publiques non centrales - Taux d'intérêt - Série arrêtée;Intra UEM - Administrations centrales et IFM - Agrégat de monnaie M1 - Intra UEM - Autres résidents et administrations publiques non centrales - Taux d'intérêt - Série arrêtée;France - Administrations centrales et IFM - Agrégat de monnaie M1 - Intra UEM - Autres résidents et administrations publiques non centrales - Taux d'intérêt - Série arrêtée;France - Administrations centrales et IFM - Agrégat de monnaie M2 - Intra UEM - Autres résidents et administrations publiques non centrales - Taux d'intérêt - Série arrêtée;France - Administrations centrales et IFM - Agrégat de monnaie M3 - Intra UEM - Autres résidents et administrations publiques non centrales - Taux d'intérêt - Série arrêtée
IdBank;000652874;000652875;000652876;000652877;000652878;000652879;000652880;000652881;000653043;000653044;000653045;000659160;000659161;000659162;000803639;000803640;000810031;000810032;000810033;000810034;000810050;000810186;000810187;000810188
Dernière mise à jour;31 Janvier 2008;31 Janvier 2008;31 Janvier 2008;31 Janvier 2008;16 Décembre 2005;31 Janvier 2008;31 Janvier 2008;16 Décembre 2005;31 Janvier 2008;31 Janvier 2008;31 Janvier 2008;31 Janvier 2008;31 Janvier 2008;31 Janvier 2008;16 Décembre 2005;16 Décembre 2005;31 Janvier 2008;16 Décembre 2005;31 Janvier 2008;16 Décembre 2005;31 Janvier 2008;31 Janvier 2008;31 Janvier 2008;31 Janvier 2008
Mode de représentation;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux
Correction;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé
Période de référence de l'indice;;;;;;;;;;;;;;;;;;;;;;;;
Périodicité;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle
Date de début;Janvier 1980;Février 1980;Janvier 1980;Février 1980;Janvier 1980;Janvier 1980;Février 1980;Janvier 1980;Janvier 1980;Janvier 1980;Janvier 1980;Février 1980;Février 1980;Février 1980;Février 1980;Février 1980;Septembre 1998;Septembre 1998;Septembre 1998;Septembre 1998;Septembre 1998;Septembre 1998;Septembre 1998;Septembre 1998
Date de fin;Novembre 2007;Novembre 2007;Novembre 2007;Novembre 2007;Avril 2001;Novembre 2007;Novembre 2007;Avril 2001;Novembre 2007;Novembre 2007;Novembre 2007;Novembre 2007;Novembre 2007;Novembre 2007;Avril 2001;Avril 2001;Novembre 2007;Avril 2001;Novembre 2007;Avril 2001;Novembre 2007;Novembre 2007;Novembre 2007;Novembre 2007
Zone géographique;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine
