Libellé;;Intra UEM - Administrations centrales et IFM - Agrégat de monnaie M1 - Intra UEM - Autres résidents et administrations publiques non centrales - Encours - Série arrêtée;Intra UEM - Administrations centrales et IFM - Agrégat de monnaie M1 - Intra UEM - Autres résidents et administrations publiques non centrales - Flux net - Série arrêtée;Intra UEM - Administrations centrales et IFM - Agrégat de monnaie M2 - Intra UEM - Autres résidents et administrations publiques non centrales - Encours - Série arrêtée;Intra UEM - Administrations centrales et IFM - Agrégat de monnaie M2 - Intra UEM - Autres résidents et administrations publiques non centrales - Flux net - Série arrêtée;Intra UEM - Administrations centrales et IFM - Agrégat de monnaie M2-M1 - Intra UEM - Autres résidents et administrations publiques non centrales - Encours - Série arrêtée;Intra UEM - Administrations centrales et IFM - Agrégat de monnaie M3 - Intra UEM - Autres résidents et administrations publiques non centrales - Encours - Série arrêtée;Intra UEM - Administrations centrales et IFM - Agrégat de monnaie M3 - Intra UEM - Autres résidents et administrations publiques non centrales - Flux net - Série arrêtée;Intra UEM - Administrations centrales et IFM - Agrégat de monnaie M3-M2 - Intra UEM - Autres résidents et administrations publiques non centrales - Encours - Série arrêtée;France - Banques centrales nationales - Administrations centrales et IFM - Agrégat de monnaie M1 - Inférieur ou égal à 3 mois - Autres résidents et administrations publiques non centrales - Encours - Série arrêtée;France - Banques centrales nationales - Administrations centrales et IFM - Agrégat de monnaie M2 - Inférieur ou égal à 3 mois - Autres résidents et administrations publiques non centrales - Encours - Série arrêtée;France - Banques centrales nationales - Administrations centrales et IFM - Agrégat de monnaie M3 - Inférieur ou égal à 3 mois - Autres résidents et administrations publiques non centrales - Encours - Série arrêtée;France - Administrations centrales et IFM - Agrégat de monnaie M1 - Intra UEM - Autres résidents et administrations publiques non centrales - Flux net - Série arrêtée;France - Administrations centrales et IFM - Agrégat de monnaie M2 - Intra UEM - Autres résidents et administrations publiques non centrales - Flux net - Série arrêtée;France - Administrations centrales et IFM - Agrégat de monnaie M3 - Intra UEM - Autres résidents et administrations publiques non centrales - Flux net - Série arrêtée;Intra UEM - Administrations centrales et IFM - Agrégat de monnaie M2-M1 - Intra UEM - Autres résidents et administrations publiques non centrales - Flux net - Série arrêtée;Intra UEM - Administrations centrales et IFM - Agrégat de monnaie M3-M2 - Intra UEM - Autres résidents et administrations publiques non centrales - Flux net - Série arrêtée;Intra UEM - Administrations centrales et IFM - Agrégat de monnaie M2 - Intra UEM - Autres résidents et administrations publiques non centrales - Taux d'intérêt - Série arrêtée;Intra UEM - Administrations centrales et IFM - Agrégat de monnaie M2-M1 - Intra UEM - Autres résidents et administrations publiques non centrales - Taux d'intérêt - Série arrêtée;Intra UEM - Administrations centrales et IFM - Agrégat de monnaie M3 - Intra UEM - Autres résidents et administrations publiques non centrales - Taux d'intérêt - Série arrêtée;Intra UEM - Administrations centrales et IFM - Agrégat de monnaie M3-M2 - Intra UEM - Autres résidents et administrations publiques non centrales - Taux d'intérêt - Série arrêtée;Intra UEM - Administrations centrales et IFM - Agrégat de monnaie M1 - Intra UEM - Autres résidents et administrations publiques non centrales - Taux d'intérêt - Série arrêtée;France - Administrations centrales et IFM - Agrégat de monnaie M1 - Intra UEM - Autres résidents et administrations publiques non centrales - Taux d'intérêt - Série arrêtée;France - Administrations centrales et IFM - Agrégat de monnaie M2 - Intra UEM - Autres résidents et administrations publiques non centrales - Taux d'intérêt - Série arrêtée;France - Administrations centrales et IFM - Agrégat de monnaie M3 - Intra UEM - Autres résidents et administrations publiques non centrales - Taux d'intérêt - Série arrêtée
IdBank;;000652874;000652875;000652876;000652877;000652878;000652879;000652880;000652881;000653043;000653044;000653045;000659160;000659161;000659162;000803639;000803640;000810031;000810032;000810033;000810034;000810050;000810186;000810187;000810188
Année;Mois
2007;11;3 826 823;35 832;7 260 775;56 183;;8 567 350;87 242;;593 709;1 200 696;1 755 623;-7 872;3 422;22 637;;;10,7847;;12,1639;;5,7649;5,6974;13,6153;15,2379
2007;10;3 792 045;-25 729;7 208 200;62 701;;8 483 530;90 187;;601 813;1 197 720;1 733 657;-2 774;19 157;39 943;;;11,0986;;12,2219;;6,1837;6,8802;13,2511;14,0104
2007;9;3 819 098;71 951;7 115 954;99 539;;8 372 771;94 776;;604 774;1 178 922;1 701 296;11 362;14 159;17 924;;;10,3350;;11,4280;;6,3708;6,9788;11,7619;13,0030
2007;8;3 750 010;-77 206;7 023 610;-14 774;;8 288 161;12 735;;593 820;1 165 528;1 684 420;-13 303;-5 395;-1 873;;;10,4531;;11,5404;;6,2877;7,2010;11,7589;12,0986
2007;7;3 826 873;-17 209;7 037 729;34 171;;8 277 644;50 653;;607 116;1 170 916;1 687 299;-7 041;7 186;16 328;;;10,3177;;11,5848;;6,7573;6,7797;11,7083;12,9548
2007;6;3 844 798;67 348;7 005 391;95 646;;8 229 502;75 567;;614 285;1 163 977;1 671 314;27 667;31 835;8 120;;;9,7078;;11,1068;;6,4758;7,4968;11,0975;13,1912
2007;5;3 776 267;22 933;6 909 370;45 210;;8 152 075;76 384;;586 647;1 132 200;1 663 314;-9 138;-4 018;20 751;;;9,3055;;10,6429;;6,0129;4,8335;9,7819;12,0687
2007;4;3 752 669;18 526;6 862 520;51 970;;8 068 372;70 583;;595 678;1 136 012;1 639 614;7 859;13 032;31 270;;;8,7180;;10,1741;;5,9335;3,9671;8,4906;10,0396
2007;3;3 735 333;62 099;6 814 202;125 313;;8 002 493;161 503;;588 073;1 123 444;1 609 039;15 400;32 954;43 582;;;9,7412;;11,1894;;7,4135;8,3312;10,7707;12,8367
2007;2;3 673 966;-6 499;6 690 632;7 306;;7 843 725;36 128;;572 782;1 090 682;1 566 920;717;3 341;4 102;;;8,7579;;10,0049;;6,4844;6,5325;8,3961;10,5836
2007;1;3 681 760;-83 420;6 686 533;-59 924;;7 811 060;5 387;;572 263;1 087 707;1 563 376;-29 006;-18 221;12 716;;;8,9993;;9,9641;;6,5959;4,7483;7,4484;10,9962
2006;12;3 756 487;139 847;6 728 381;201 474;;7 789 254;166 988;;601 102;1 105 614;1 550 265;38 213;46 671;17 778;;;9,5028;;9,9817;;7,9147;7,3520;8,3558;10,7115
2006;11;3 609 723;47 915;6 520 498;68 761;;7 617 577;81 671;;562 897;1 058 944;1 532 239;-1 148;-379;3 468;;;8,8683;;9,3711;;6,7158;7,6019;8,3762;11,1220
2006;10;3 563 542;-17 858;6 457 085;12 098;;7 557 334;27 275;;563 771;1 059 366;1 530 164;-2 076;3 049;21 772;;;8,1468;;8,4622;;6,1850;6,9117;7,3574;9,5817
2006;9;3 581 355;64 663;6 445 069;96 835;;7 533 163;92 541;;565 838;1 056 318;1 508 433;11 771;12 647;3 841;;;8,6167;;8,6812;;7,5915;9,1754;8,2847;9,4429
2006;8;3 515 911;-56 609;6 346 330;-21 163;;7 430 043;14 347;;553 926;1 043 445;1 504 340;-14 650;-5 306;9 680;;;8,4156;;8,2228;;7,3683;7,6475;7,1076;8,4679
