Libellé;;Dépenses de consommation individualisable des APU - Total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Dépenses de consommation collective des APU - Total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Dépenses de consommation des ménages - Total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Dépenses de consommation des ISBLSM - Total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Dépenses de consommation totales - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Demande intérieure finale hors stocks - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Dépenses de consommation individualisable des APU - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Dépenses de consommation des APU collectives - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Dépenses de consommation des ménages - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Dépenses de consommation des ISBLSM - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Dépenses de consommation Total - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;FBCF Total - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;FBCF des entreprises financières - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;FBCF des APU - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;FBCF des ménages - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;FBCF des ISBLSM - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;FBCF des entreprises non-financières - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Variations de stocks - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Variations de stocks et acquisitions moins cessions d'objets de valeur - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Exportations - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Importations - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Solde extérieur - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Comptes trimestriels (base 2010) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;FBCF de l'ensemble des secteurs institutionnels - Total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;FBCF des sociétés financières - Total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;FBCF des administrations publiques - Total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Demande intérieure totale finale - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Demande intérieure totale finale hors stocks - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;FBCF des ménages - Total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;FBCF des ISBLSM - Total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Investissement des entreprises non financières - Total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Exportations - Total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Importations - Total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Dépenses de consommation des APU - Total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO
IdBank;;001688669;001688689;001688879;001688960;001688968;001688976;001688978;001688979;001688980;001688981;001688982;001688983;001688984;001688985;001688986;001688987;001688988;001688989;001688990;001688991;001688992;001688993;001688994;001688995;001689066;001689174;001689280;001689346;001689348;001689378;001689392;001689585;001689914;001690116;001690224;001712087
Année;Trimestre
2014;3;82 930;44 542;273 269;10 544;411 227;0,49;0,18;0,11;0,05;0,15;0,01;0,31;-0,13;0,00;-0,05;-0,08;0,00;0,00;0,30;0,31;0,16;0,39;-0,24;0,3;109 527;4 329;20 080;524 124;520 705;23 761;1 090;60 294;146 929;155 268;515 731;127 467
2014;2;82 366;44 290;272 518;10 508;409 629;0,09;0,18;0,06;0,04;0,25;0,01;0,36;-0,18;0,00;-0,03;-0,09;0,00;-0,06;-0,09;-0,09;-0,01;0,17;-0,18;-0,1;110 202;4 344;20 348;521 618;519 791;24 168;1 089;60 277;146 132;153 302;514 426;126 652
2014;1;82 062;44 071;271 222;10 469;407 769;0,15;-0,24;0,06;0,03;-0,18;0,01;-0,08;-0,16;0,00;0,01;-0,10;0,00;-0,08;0,38;0,39;0,16;0,32;-0,16;0,0;111 118;4 361;20 482;521 157;518 859;24 638;1 089;60 569;146 172;152 426;514 902;126 128
2013;4;81 765;43 893;272 115;10 429;408 158;0,02;0,36;0,09;0,05;0,23;0,01;0,37;-0,01;0,00;0,00;-0,10;0,00;0,09;-0,33;-0,34;0,26;0,07;0,19;0,2;111 940;4 357;20 435;520 384;520 075;25 122;1 089;60 958;145 336;150 785;514 946;125 653
2013;3;81 319;43 655;270 957;10 394;406 283;0,40;0,07;0,05;0,03;-0,01;0,01;0,07;0,00;-0,01;0,03;-0,05;0,00;0,03;0,33;0,33;-0,22;0,28;-0,50;-0,1;111 992;4 360;20 455;520 295;518 258;25 598;1 085;60 508;144 007;150 424;513 876;124 969
2013;2;81 071;43 505;271 021;10 366;405 925;0,43;0,40;0,14;0,05;0,14;0,00;0,34;0,07;0,00;0,03;-0,02;0,00;0,06;0,03;0,03;0,85;0,61;0,24;0,7;111 999;4 394;20 309;518 243;517 908;25 871;1 075;60 363;145 123;149 066;514 374;124 571
2013;1;80 350;43 260;270 297;10 344;404 221;0,05;0,14;0,09;0,03;0,11;0,00;0,23;-0,09;-0,01;0,00;-0,01;0,00;-0,07;-0,09;-0,09;0,11;0,16;-0,04;0,0;111 660;4 390;20 180;516 040;515 866;25 967;1 060;60 073;140 890;146 120;510 919;123 606
2012;4;79 881;43 115;269 745;10 326;403 048;-0,38;-0,12;0,06;0,03;-0,06;0,01;0,03;-0,15;0,00;0,00;-0,06;0,00;-0,09;-0,25;-0,26;-0,14;-0,26;0,13;-0,2;112 127;4 437;20 189;515 782;515 171;26 030;1 043;60 442;140 323;145 355;510 879;122 995
2012;3;79 548;42 984;270 075;10 296;402 887;0,13;0,11;0,07;0,03;0,04;0,01;0,15;-0,04;0,01;0,02;-0,06;0,00;-0,01;0,02;0,02;0,08;-0,02;0,10;0,2;112 886;4 434;20 199;517 692;515 774;26 334;1 030;60 902;141 018;146 652;512 158;122 531
2012;2;79 209;42 821;269 882;10 251;402 150;-0,32;-0,23;0,06;0,04;-0,32;0,01;-0,20;-0,02;0,02;0,03;-0,05;0,00;-0,02;-0,09;-0,09;0,11;0,03;0,07;-0,2;113 063;4 387;20 117;517 010;515 216;26 615;1 024;60 929;140 622;146 740;510 976;122 029
