Libellé;;Consommation mensuelle des ménages en biens - Biens - Volumes aux prix de l'année précédente, chaînés depuis 2010 - Série CVS-CJO;Consommation mensuelle des ménages en biens - Produits fabriqués - Volumes aux prix de l'année précédente, chaînés depuis 2010 - Série CVS-CJO;Consommation mensuelle des ménages en biens - Biens durables - Volumes aux prix de l'année précédente, chaînés depuis 2010 - Série CVS-CJO;Consommation mensuelle des ménages en biens - Biens durables d'équipement personnel - Volumes aux prix de l'année précédente, chaînés depuis 2010 - Série CVS-CJO;Consommation mensuelle des ménages en biens - Textile-cuir - Volumes aux prix de l'année précédente, chaînés depuis 2010 - Série CVS-CJO;Consommation mensuelle des ménages en biens - Autres biens fabriqués - Volumes aux prix de l'année précédente, chaînés depuis 2010 - Série CVS-CJO;Consommation mensuelle des ménages en biens - Produits manufacturés - Volumes aux prix de l'année précédente, chaînés depuis 2010 - Série CVS-CJO;Consommation mensuelle des ménages en biens - Équipement du logement - Volumes aux prix de l'année précédente, chaînés depuis 2010 - Série CVS-CJO;Consommation mensuelle des ménages en biens - Automobiles - Volumes aux prix de l'année précédente, chaînés depuis 2010 - Série CVS-CJO;Consommation mensuelle des ménages en biens - Énergie, eau, traitement des déchets - Volumes aux prix de l'année précédente, chaînés depuis 2010 - Série CVS-CJO;Consommation mensuelle des ménages en biens - Produits pétroliers - Volumes aux prix de l'année précédente, chaînés depuis 2010 - Série CVS-CJO;Consommation mensuelle des ménages en biens - Énergie, eau, traitement des déchets, hors produits pétroliers - Volumes aux prix de l'année précédente, chaînés depuis 2010 - Série CVS-CJO;Consommation mensuelle des ménages en biens - Alimentaire - Volumes aux prix de l'année précédente, chaînés depuis 2010 - Série CVS-CJO
IdBank;;001690324;001690325;001690326;001690327;001690328;001690329;001690330;001690331;001690332;001690333;001690334;001690335;001690336
Année;Mois
2014;12;43,167;20,015;9,960;1,325;4,067;5,991;37,084;4,146;4,578;7,162;4,505;2,661;15,991
2014;11;42,525;19,995;10,006;1,323;4,009;5,985;36,628;4,185;4,590;6,702;4,137;2,573;15,879
2014;10;42,445;19,876;9,998;1,306;3,922;5,964;36,651;4,115;4,659;6,713;4,172;2,547;15,900
2014;9;42,606;19,673;9,962;1,314;3,801;5,923;36,554;4,074;4,649;7,026;4,373;2,660;15,906
2014;8;42,892;20,006;9,928;1,291;4,108;5,970;36,779;4,101;4,618;7,068;4,409;2,664;15,830
2014;7;42,482;19,833;9,873;1,301;4,033;5,929;36,378;4,046;4,603;6,974;4,313;2,668;15,692
2014;6;42,799;19,849;9,859;1,286;4,049;5,942;36,711;3,952;4,682;7,035;4,387;2,655;15,921
2014;5;42,424;19,676;9,794;1,287;3,950;5,935;36,251;4,005;4,577;7,023;4,325;2,706;15,728
2014;4;42,423;19,781;9,903;1,295;3,923;5,962;36,510;3,908;4,750;6,763;4,211;2,558;15,912
2014;3;42,431;19,800;9,818;1,285;3,997;5,988;36,486;3,875;4,708;6,916;4,332;2,589;15,735
2014;2;42,222;19,842;9,786;1,299;4,080;5,976;36,246;3,840;4,693;6,743;4,138;2,614;15,679
2014;1;42,347;19,821;9,657;1,293;4,166;5,992;36,367;3,866;4,557;6,804;4,210;2,601;15,755
2013;12;42,953;19,940;9,949;1,286;4,027;5,967;36,762;3,884;4,821;7,163;4,451;2,716;15,844
