Libellé;Indices harmonisés des prix à la consommation - Indice d'ensemble - Indice (2005=100) - Allemagne;Indices harmonisés des prix à la consommation - Indice d'ensemble - Indice (2005=100) - Zone euro;Indices harmonisés des prix à la consommation - Indice d'ensemble - Indice (2005=100) - France;Indices harmonisés des prix à la consommation - Indice d'ensemble - Indice (2005=100) - Royaume-Uni;Indices harmonisés des prix à la consommation - Indice d'ensemble, énergie et aliments non traités exclus - Indice (2005=100) - France;Indices harmonisés des prix à la consommation - Indice d'ensemble, énergie et aliments non traités exclus - Indice (2005=100) - Royaume-Uni;Indices harmonisés des prix à la consommation - Transport - Indice (2005=100) - Allemagne;Indices harmonisés des prix à la consommation - Transport - Indice (2005=100) - Zone euro;Indices harmonisés des prix à la consommation - Transport - Indice (2005=100) - France;Indices harmonisés des prix à la consommation - Transport - Indice (2005=100) - Royaume-Uni;Indices harmonisés des prix à la consommation - Indice d'ensemble, énergie et aliments saisonniers exclus - Indice (2005=100) - Allemagne;Indices harmonisés des prix à la consommation - Indice d'ensemble, énergie et aliments saisonniers exclus - Indice (2005=100) - Zone euro;Indices harmonisés des prix à la consommation - Indice d'ensemble, énergie et aliments saisonniers exclus - Indice (2005=100) - France;Indices harmonisés des prix à la consommation - Indice d'ensemble sans énergie, produits alimentaires, alcool et tabac - Indice (2005=100) - Allemagne;Indices harmonisés des prix à la consommation - Indice d'ensemble sans énergie, produits alimentaires, alcool et tabac - Indice (2005=100) - Zone euro;Indices harmonisés des prix à la consommation - Indice d'ensemble sans énergie, produits alimentaires, alcool et tabac - Indice (2005=100) - France;Indices harmonisés des prix à la consommation - Indice d'ensemble sans énergie, produits alimentaires, alcool et tabac - Indice (2005=100) - Royaume-Uni;Indices harmonisés des prix à la consommation - Indice d'ensemble, énergie exclue - Indice (2005=100) - Allemagne;Indices harmonisés des prix à la consommation - Indice d'ensemble, énergie exclue - Indice (2005=100) - Zone euro;Indices harmonisés des prix à la consommation - Indice d'ensemble, énergie exclue - Indice (2005=100) - France;Indices harmonisés des prix à la consommation - Indice d'ensemble, énergie exclue - Indice (2005=100) - Royaume-Uni;Indices harmonisés des prix à la consommation - Indice d'ensemble, énergie et aliments non traités exclus - Indice (2005=100) - Allemagne;Indices harmonisés des prix à la consommation - Indice d'ensemble, énergie et aliments non traités exclus - Indice (2005=100) - Zone euro;Indices harmonisés des prix à la consommation - Indice d'ensemble, énergie et aliments saisonniers exclus - Indice (2005=100) - Royaume-Uni;Indices harmonisés des prix à la consommation - Indice d'ensemble sans tabac - Indice (2005=100) - Allemagne;Indices harmonisés des prix à la consommation - Indice d'ensemble sans tabac - Indice (2005=100) - Zone euro;Indices harmonisés des prix à la consommation - Indice d'ensemble sans tabac - Indice (2005=100) - France;Indices harmonisés des prix à la consommation - Indice d'ensemble sans tabac - Indice (2005=100) - Royaume-Uni;Indices harmonisés des prix à la consommation - Énergie - Indice (2005=100) - Allemagne;Indices harmonisés des prix à la consommation - Énergie - Indice (2005=100) - Zone euro;Indices harmonisés des prix à la consommation - Énergie - Indice (2005=100) - France;Indices harmonisés des prix à la consommation - Énergie - Indice (2005=100) - Royaume-Uni;Indices harmonisés des prix à la consommation - Total des biens - Indice (2005=100) - Allemagne (incluant l'ex-RDA à partir de 1991);Indices harmonisés des prix à la consommation - Total des biens - Indice (2005=100) - Zone euro (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16);Indices harmonisés des prix à la consommation - Total des biens - Indice (2005=100) - France;Indices harmonisés des prix à la consommation - Total des biens - Indice (2005=100) - Royaume-Uni;Indices harmonisés des prix à la consommation - Total des services - Indice (2005=100) - Allemagne (incluant l'ex-RDA à partir de 1991);Indices harmonisés des prix à la consommation - Total des services - Indice (2005=100) - Zone euro (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16);Indices harmonisés des prix à la consommation - Total des services - Indice (2005=100) - France;Indices harmonisés des prix à la consommation - Total des services - Indice (2005=100) - Royaume-Uni
IdBank;001507811;001507813;001507822;001507841;001508112;001508131;001508185;001508187;001508274;001508294;001508555;001508557;001508566;001508809;001508811;001508820;001508897;001509146;001509148;001509214;001509233;001509498;001509500;001509718;001509796;001509798;001509807;001509826;001509904;001509906;001509915;001509934;001584316;001584322;001584329;001584373;001584564;001584570;001584577;001584622
Dernière mise à jour;16 Janvier 2015;16 Janvier 2015;16 Janvier 2015;16 Janvier 2015;16 Janvier 2015;16 Janvier 2015;16 Janvier 2015;16 Janvier 2015;16 Janvier 2015;16 Janvier 2015;16 Janvier 2015;16 Janvier 2015;16 Janvier 2015;16 Janvier 2015;16 Janvier 2015;16 Janvier 2015;16 Janvier 2015;16 Janvier 2015;16 Janvier 2015;16 Janvier 2015;16 Janvier 2015;16 Janvier 2015;16 Janvier 2015;16 Janvier 2015;16 Janvier 2015;16 Janvier 2015;16 Janvier 2015;16 Janvier 2015;16 Janvier 2015;16 Janvier 2015;16 Janvier 2015;16 Janvier 2015;16 Janvier 2015;16 Janvier 2015;16 Janvier 2015;16 Janvier 2015;16 Janvier 2015;16 Janvier 2015;16 Janvier 2015;16 Janvier 2015
Mode de représentation;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice
Correction;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé
Période de référence de l'indice;100 en 2005;100 en 2005;100 en 2005;100 en 2005;100 en 2005;100 en 2005;100 en 2005;100 en 2005;100 en 2005;100 en 2005;100 en 2005;100 en 2005;100 en 2005;100 en 2005;100 en 2005;100 en 2005;100 en 2005;100 en 2005;100 en 2005;100 en 2005;100 en 2005;100 en 2005;100 en 2005;100 en 2005;100 en 2005;100 en 2005;100 en 2005;100 en 2005;100 en 2005;100 en 2005;100 en 2005;100 en 2005;100 en 2005;100 en 2005;100 en 2005;100 en 2005;100 en 2005;100 en 2005;100 en 2005;100 en 2005
Périodicité;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle
Date de début;Janvier 1996;Janvier 1996;Janvier 1996;Janvier 1996;Janvier 1996;Janvier 1996;Janvier 1996;Janvier 1996;Janvier 1996;Janvier 1996;Janvier 1996;Janvier 1996;Janvier 1996;Janvier 1996;Janvier 1996;Janvier 1996;Janvier 1996;Janvier 1996;Janvier 1996;Janvier 1996;Janvier 1996;Janvier 1996;Janvier 1996;Janvier 1996;Janvier 1996;Janvier 1996;Janvier 1996;Janvier 1996;Janvier 1996;Janvier 1996;Janvier 1996;Janvier 1996;Janvier 1996;Janvier 1996;Janvier 1996;Janvier 1996;Janvier 1996;Janvier 1996;Janvier 1996;Janvier 1996
Date de fin;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014
Zone géographique;Pays ou groupe de pays étrangers;Pays ou groupe de pays étrangers;France (France métropolitaine + DOM);Pays ou groupe de pays étrangers;France (France métropolitaine + DOM);Pays ou groupe de pays étrangers;Pays ou groupe de pays étrangers;Pays ou groupe de pays étrangers;France (France métropolitaine + DOM);Pays ou groupe de pays étrangers;Pays ou groupe de pays étrangers;Pays ou groupe de pays étrangers;France (France métropolitaine + DOM);Pays ou groupe de pays étrangers;Pays ou groupe de pays étrangers;France (France métropolitaine + DOM);Pays ou groupe de pays étrangers;Pays ou groupe de pays étrangers;Pays ou groupe de pays étrangers;France (France métropolitaine + DOM);Pays ou groupe de pays étrangers;Pays ou groupe de pays étrangers;Pays ou groupe de pays étrangers;Pays ou groupe de pays étrangers;Pays ou groupe de pays étrangers;Pays ou groupe de pays étrangers;France (France métropolitaine + DOM);Pays ou groupe de pays étrangers;Pays ou groupe de pays étrangers;Pays ou groupe de pays étrangers;France (France métropolitaine + DOM);Pays ou groupe de pays étrangers;Pays ou groupe de pays étrangers;Pays ou groupe de pays étrangers;France (France métropolitaine + DOM);Pays ou groupe de pays étrangers;Pays ou groupe de pays étrangers;Pays ou groupe de pays étrangers;France (France métropolitaine + DOM);Pays ou groupe de pays étrangers
