Libellé;;Indices harmonisés des prix à la consommation - Indice d'ensemble - Indice (2005=100) - Allemagne;Indices harmonisés des prix à la consommation - Indice d'ensemble - Indice (2005=100) - Zone euro;Indices harmonisés des prix à la consommation - Indice d'ensemble - Indice (2005=100) - France;Indices harmonisés des prix à la consommation - Indice d'ensemble - Indice (2005=100) - Royaume-Uni;Indices harmonisés des prix à la consommation - Indice d'ensemble, énergie et aliments non traités exclus - Indice (2005=100) - France;Indices harmonisés des prix à la consommation - Indice d'ensemble, énergie et aliments non traités exclus - Indice (2005=100) - Royaume-Uni;Indices harmonisés des prix à la consommation - Transport - Indice (2005=100) - Allemagne;Indices harmonisés des prix à la consommation - Transport - Indice (2005=100) - Zone euro;Indices harmonisés des prix à la consommation - Transport - Indice (2005=100) - France;Indices harmonisés des prix à la consommation - Transport - Indice (2005=100) - Royaume-Uni;Indices harmonisés des prix à la consommation - Indice d'ensemble, énergie et aliments saisonniers exclus - Indice (2005=100) - Allemagne;Indices harmonisés des prix à la consommation - Indice d'ensemble, énergie et aliments saisonniers exclus - Indice (2005=100) - Zone euro;Indices harmonisés des prix à la consommation - Indice d'ensemble, énergie et aliments saisonniers exclus - Indice (2005=100) - France;Indices harmonisés des prix à la consommation - Indice d'ensemble sans énergie, produits alimentaires, alcool et tabac - Indice (2005=100) - Allemagne;Indices harmonisés des prix à la consommation - Indice d'ensemble sans énergie, produits alimentaires, alcool et tabac - Indice (2005=100) - Zone euro;Indices harmonisés des prix à la consommation - Indice d'ensemble sans énergie, produits alimentaires, alcool et tabac - Indice (2005=100) - France;Indices harmonisés des prix à la consommation - Indice d'ensemble sans énergie, produits alimentaires, alcool et tabac - Indice (2005=100) - Royaume-Uni;Indices harmonisés des prix à la consommation - Indice d'ensemble, énergie exclue - Indice (2005=100) - Allemagne;Indices harmonisés des prix à la consommation - Indice d'ensemble, énergie exclue - Indice (2005=100) - Zone euro;Indices harmonisés des prix à la consommation - Indice d'ensemble, énergie exclue - Indice (2005=100) - France;Indices harmonisés des prix à la consommation - Indice d'ensemble, énergie exclue - Indice (2005=100) - Royaume-Uni;Indices harmonisés des prix à la consommation - Indice d'ensemble, énergie et aliments non traités exclus - Indice (2005=100) - Allemagne;Indices harmonisés des prix à la consommation - Indice d'ensemble, énergie et aliments non traités exclus - Indice (2005=100) - Zone euro;Indices harmonisés des prix à la consommation - Indice d'ensemble, énergie et aliments saisonniers exclus - Indice (2005=100) - Royaume-Uni;Indices harmonisés des prix à la consommation - Indice d'ensemble sans tabac - Indice (2005=100) - Allemagne;Indices harmonisés des prix à la consommation - Indice d'ensemble sans tabac - Indice (2005=100) - Zone euro;Indices harmonisés des prix à la consommation - Indice d'ensemble sans tabac - Indice (2005=100) - France;Indices harmonisés des prix à la consommation - Indice d'ensemble sans tabac - Indice (2005=100) - Royaume-Uni;Indices harmonisés des prix à la consommation - Énergie - Indice (2005=100) - Allemagne;Indices harmonisés des prix à la consommation - Énergie - Indice (2005=100) - Zone euro;Indices harmonisés des prix à la consommation - Énergie - Indice (2005=100) - France;Indices harmonisés des prix à la consommation - Énergie - Indice (2005=100) - Royaume-Uni;Indices harmonisés des prix à la consommation - Total des biens - Indice (2005=100) - Allemagne (incluant l'ex-RDA à partir de 1991);Indices harmonisés des prix à la consommation - Total des biens - Indice (2005=100) - Zone euro (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16);Indices harmonisés des prix à la consommation - Total des biens - Indice (2005=100) - France;Indices harmonisés des prix à la consommation - Total des biens - Indice (2005=100) - Royaume-Uni;Indices harmonisés des prix à la consommation - Total des services - Indice (2005=100) - Allemagne (incluant l'ex-RDA à partir de 1991);Indices harmonisés des prix à la consommation - Total des services - Indice (2005=100) - Zone euro (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16);Indices harmonisés des prix à la consommation - Total des services - Indice (2005=100) - France;Indices harmonisés des prix à la consommation - Total des services - Indice (2005=100) - Royaume-Uni
IdBank;;001507811;001507813;001507822;001507841;001508112;001508131;001508185;001508187;001508274;001508294;001508555;001508557;001508566;001508809;001508811;001508820;001508897;001509146;001509148;001509214;001509233;001509498;001509500;001509718;001509796;001509798;001509807;001509826;001509904;001509906;001509915;001509934;001584316;001584322;001584329;001584373;001584564;001584570;001584577;001584622
Année;Mois
2014;12;116,30;117,69;115,47;128,20;113,24;122,70;116,80;120,62;120,27;133,70;114,10;115,66;113,66;112,20;113,86;112,54;119,70;114,20;115,79;113,79;123,70;113,80;115,45;123,10;115,90;117,01;114,88;125,90;132,60;135,75;133,09;175,30;117,30;117,03;113,06;120,50;115,00;118,52;118,81;135,40
2014;11;116,20;117,80;115,39;128,20;112,82;122,50;118,50;121,90;120,54;133,90;113,50;115,33;113,25;111,50;113,46;112,02;119,50;113,60;115,47;113,40;123,50;113,20;115,11;122,90;115,80;117,12;114,79;126,00;137,90;140,37;136,44;179,00;118,30;117,86;113,50;120,90;113,80;117,68;118,01;135,00
2014;10;116,20;118,01;115,58;128,50;112,96;122,80;119,50;123,40;122,13;135,60;113,30;115,41;113,37;111,20;113,55;112,19;119,70;113,40;115,51;113,54;123,80;113,00;115,20;123,20;115,80;117,35;114,99;126,30;139,50;142,33;137,22;180,90;118,60;118,10;113,71;121,30;113,40;117,86;118,18;135,20
2014;9;116,60;118,08;115,55;128,40;113,06;122,50;120,20;124,23;122,40;137,10;113,50;115,40;113,47;111,50;113,54;112,29;119,40;113,60;115,47;113,53;123,50;113,20;115,18;123,00;116,20;117,43;114,95;126,20;141,50;143,60;136,90;182,60;119,00;118,04;113,62;121,40;113,80;118,10;118,22;134,70
2014;8;116,60;117,57;115,97;128,30;113,67;122,40;120,20;125,61;124,05;140,50;113,60;114,89;114,06;111,60;112,92;112,98;119,30;113,70;114,92;113,97;123,40;113,30;114,64;122,80;116,30;116,91;115,39;126,10;141,30;143,39;137,20;183,10;118,20;116,18;112,83;120,80;114,70;119,37;120,33;135,30
2014;7;116,60;117,43;115,42;127,80;112,77;121,80;120,70;125,50;124,37;139,30;113,40;114,58;113,20;111,40;112,55;111,92;118,70;113,50;114,69;113,27;122,80;113,10;114,32;122,20;116,30;116,78;114,82;125,70;142,10;144,19;138,30;184,20;118,30;116,20;112,11;120,40;114,50;119,02;120,00;134,80
2014;6;116,30;118,20;115,87;128,30;113,21;122,30;120,40;124,59;122,92;137,60;112,90;115,34;113,61;110,90;113,50;112,40;119,20;113,10;115,51;113,77;123,30;112,60;115,11;122,70;115,90;117,57;115,28;126,10;142,40;144,53;138,12;183,80;118,70;118,38;113,93;121,70;113,30;117,93;118,55;134,10
2014;5;115,80;118,07;115,92;128,00;113,24;122,00;119,90;123,93;122,45;136,80;112,50;115,22;113,64;110,40;113,35;112,41;118,90;112,70;115,40;113,82;123,10;112,20;115,00;122,50;115,50;117,44;115,33;125,90;141,70;144,20;138,18;183,70;118,80;118,57;114,26;121,60;112,30;117,38;118,23;133,70
2014;4;116,10;118,20;115,89;128,10;113,22;122,00;119,70;124,32;123,05;137,70;112,70;115,33;113,61;110,70;113,50;112,36;118,90;113,00;115,53;113,71;123,20;112,40;115,11;122,50;115,70;117,57;115,30;126,00;141,70;144,30;139,04;183,50;118,90;118,65;114,29;121,60;112,60;117,58;118,10;133,80
2014;3;116,40;118,02;115,92;127,70;113,20;121,50;118,90;123,30;121,90;135,10;113,10;115,11;113,59;111,20;113,21;112,34;118,40;113,40;115,32;113,73;122,70;112,80;114,87;121,90;116,00;117,39;115,33;125,70;140,70;144,42;139,25;184,20;118,90;118,45;114,33;121,80;113,30;117,42;118,12;132,60
2014;2;116,00;116,92;115,33;127,40;112,44;121,10;119,00;123,41;122,64;135,10;112,60;113,77;112,88;110,60;111,59;111,48;117,90;113,00;114,07;113,01;122,40;112,30;113,46;121,60;115,70;116,28;114,73;125,40;141,20;144,92;140,11;184,70;118,50;116,70;113,57;121,50;113,10;117,19;117,78;132,30
