Libellé;;Indice des prix des 295 postes - Base 100 en 1980 - Mensuel - Ensemble hors énergie - Série arrêtée;Indice des prix des 295 postes - Base 100 en 1980 - Mensuel - Ensemble hors alimentation - Série arrêtée;Indice des prix des 295 postes - Base 100 en 1980 - Mensuel - Ensemble hors tabac et alcools - Série arrêtée;Indice des prix des 295 postes - Base 100 en 1980 - Mensuel - Ensemble non compris les produits frais - Série arrêtée;Indice des prix des 295 postes - Base 100 en 1980 - Mensuel - Ensemble des produits vendus par le commerce de détail - Série arrêtée
IdBank;;000013549;000013552;000244113;000244114;000244115
Année;Mois
1992;12;199,5;197,2;194,2;195,1;189,1
1992;11;199,5;197,2;194,3;195,1;189,3
1992;10;199,5;197,0;194,3;194,9;189,6
1992;9;199,1;196,4;193,8;194,4;189,4
1992;8;198,8;196,2;193,7;194,2;189,3
1992;7;198,7;196,1;193,6;194,1;189,3
1992;6;198,1;195,4;193,1;193,4;189,3
1992;5;197,9;195,0;192,9;193,1;189,2
1992;4;197,3;194,4;192,6;192,6;189,0
1992;3;196,7;193,9;192,2;192,1;188,8
1992;2;196,2;193,4;191,7;191,6;188,2
1992;1;195,7;192,9;191,3;191,1;187,7
1991;12;194,9;192,3;190,7;190,5;187,4
1991;11;194,5;192,2;190,6;190,4;187,0
1991;10;194,1;191,8;190,1;190,0;186,4
1991;9;193,2;190,9;189,4;189,2;185,9
1991;8;192,8;190,5;189,0;188,9;185,6
1991;7;192,4;190,1;188,6;188,5;185,3
1991;6;191,8;189,4;187,9;187,9;184,9
1991;5;191,3;189,0;187,5;187,5;184,4
1991;4;190,9;188,5;187,0;187,1;184,0
1991;3;190,2;187,9;186,4;186,5;183,5
1991;2;189,6;187,8;186,3;186,3;182,8
1991;1;189,1;187,4;185,9;186,0;182,4
1990;12;188,4;186,5;185,2;185,2;182,1
1990;11;188,1;186,7;185,3;185,3;181,9
1990;10;187,8;187,1;185,6;185,6;181,6
1990;9;187,2;186,0;184,6;184,7;181,1
1990;8;187,0;184,7;183,5;183,6;180,8
1990;7;186,6;183,5;182,4;182,6;180,4
1990;6;186,1;183,0;181,9;182,1;180,1
1990;5;185,6;182,7;181,6;181,8;179,7
1990;4;185,2;182,4;181,3;181,5;179,3
1990;3;184,3;181,6;180,5;180,8;178,7
1990;2;183,7;181,1;180,0;180,2;178,0
1990;1;183,2;180,7;179,7;179,9;177,5
1989;12;182,7;180,2;179,2;179,4;177,2
1989;11;182,6;180,1;179,0;179,3;176,8
1989;10;182,2;179,8;178,7;179,0;176,4
1989;9;181,5;179,1;177,9;178,3;175,7
1989;8;181,1;178,8;177,4;177,8;175,1
1989;7;180,7;178,7;177,2;177,5;174,6
1989;6;179,9;178,3;176,8;177,1;174,1
1989;5;179,5;178,2;176,5;176,9;173,6
1989;4;179,0;177,6;175,9;176,2;173,1
1989;3;178,3;176,3;174,7;175,1;172,4
1989;2;177,8;175,8;174,2;174,5;171,8
1989;1;177,3;175,3;173,7;174,0;171,3
1988;12;176,7;174,7;173,0;173,3;170,8
1988;11;176,5;174,5;172,7;173,0;170,5
1988;10;176,2;174,3;172,5;172,8;170,1
1988;9;175,5;174,0;172,1;172,4;169,6
1988;8;175,0;173,6;171,6;172,0;169,1
1988;7;174,7;173,1;171,2;171,6;168,8
1988;6;174,1;172,4;170,6;170,9;168,7
1988;5;173,7;171,9;170,1;170,5;168,4
1988;4;173,3;171,4;169,9;170,1;168,3
1988;3;172,5;170,3;169,2;169,2;168,0
1988;2;172,0;169,8;168,7;168,7;167,6
1988;1;171,6;169,5;168,4;168,4;167,3
1987;12;171,0;169,1;168,1;168,1;167,1
1987;11;170,8;169,1;168,0;168,1;166,9
1987;10;170,6;168,9;167,8;167,9;166,7
1987;9;170,0;168,4;167,3;167,4;166,2
1987;8;169,8;168,3;167,3;167,3;166,0
1987;7;169,6;167,9;166,9;167,0;165,9
1987;6;169,1;167,3;166,5;166,5;165,8
1987;5;168,8;166,9;166,2;166,2;165,7
1987;4;168,5;166,5;165,9;165,9;165,5
1987;3;167,7;165,5;165,1;165,1;165,1
1987;2;167,1;165,2;164,8;164,8;164,6
1987;1;166,6;165,0;164,6;164,6;164,3
1986;12;165,5;163,2;163,1;163,1;163,8
1986;11;165,1;163,0;162,8;162,8;163,4
1986;10;164,8;162,8;162,6;162,7;163,1
1986;9;164,2;162,3;162,2;162,4;162,5
1986;8;163,7;161,7;161,6;161,8;161,9
1986;7;163,2;161,7;161,4;161,7;161,4
1986;6;162,5;161,7;161,2;161,6;160,9
1986;5;161,9;161,2;160,9;161,1;160,4
1986;4;161,4;160,6;160,4;160,6;160,0
1986;3;160,6;159,8;159,9;160,0;159,5
1986;2;160,0;159,5;159,5;159,6;159,0
1986;1;159,6;160,0;160,0;159,9;158,6
1985;12;159,1;160,0;160,0;159,9;158,3
1985;11;158,7;159,9;159,8;159,7;157,9
1985;10;158,4;159,5;159,4;159,4;157,4
1985;9;157,8;159,0;159,0;158,9;156,9
1985;8;157,2;158,9;158,7;158,7;156,1
1985;7;156,8;158,8;158,5;158,4;155,7
1985;6;156,0;158,1;157,9;157,7;155,1
1985;5;155,3;157,6;157,4;157,2;154,5
1985;4;154,4;156,8;156,7;156,4;153,7
1985;3;153,4;155,6;155,6;155,3;152,8
1985;2;152,6;154,5;154,5;154,3;151,8
1985;1;151,9;153,8;153,7;153,6;151,1
1984;12;150,9;152,8;152,8;152,7;150,7
1984;11;150,9;152,4;152,5;152,4;150,4
1984;10;150,5;151,7;152,0;151,9;149,9
1984;9;149,7;150,6;150,9;150,9;149,0
1984;8;149,1;150,0;150,3;150,2;148,1
1984;7;148,4;149,2;149,4;149,4;147,5
1984;6;147,6;148,3;148,2;148,4;146,7
1984;5;146,9;147,6;147,5;147,7;146,0
1984;4;146,0;146,8;146,7;146,9;145,1
1984;3;145,0;145,9;145,8;146,0;144,2
1984;2;144,1;145,0;144,8;145,2;143,1
1984;1;143,2;144,0;143,8;144,2;142,3
1983;12;142,3;142,9;142,9;143,2;141,5
1983;11;141,7;142,6;142,5;142,9;140,7
1983;10;141,1;142,1;141,8;142,3;139,7
1983;9;139,9;141,1;140,6;141,2;138,4
1983;8;138,8;140,3;139,5;140,2;137,0
1983;7;138,0;139,6;138,7;139,4;136,0
1983;6;136,7;138,4;137,6;138,2;135,0
1983;5;136,0;137,7;136,9;137,5;134,2
1983;4;135,3;136,6;136,0;136,6;133,4
1983;3;133,7;134,7;134,2;134,8;132,1
1983;2;132,2;133,5;133,0;133,5;130,7
1983;1;131,0;132,5;132,1;132,5;129,6
1982;12;129,5;131,2;131,0;131,3;128,7
1982;11;128,4;130,0;129,9;130,2;127,9
1982;10;127,4;128,7;128,6;128,9;126,9
1982;9;126,9;128,0;127,9;128,2;126,1
1982;8;126,5;127,5;127,3;127,7;125,5
1982;7;126,3;127,0;126,9;127,3;125,2
1982;6;126,0;126,4;126,5;126,9;125,2
1982;5;125,2;125,6;125,6;126,1;124,3
1982;4;124,2;124,7;124,6;125,1;123,1
1982;3;122,6;123,4;123,2;123,7;121,5
1982;2;121,4;121,9;121,8;122,3;120,3
1982;1;120,0;120,7;120,7;121,0;119,1
1981;12;118,9;119,4;119,5;119,8;118,2
1981;11;118,2;118,9;118,8;119,1;117,2
1981;10;117,0;117,9;117,7;118,1;116,0
1981;9;115,4;116,6;116,3;116,7;114,6
1981;8;114,0;115,5;114,9;115,3;113,0
1981;7;112,9;114,1;113,7;113,9;112,1
1981;6;111,4;112,0;111,7;112,0;110,9
1981;5;110,5;110,9;110,6;110,9;109,9
1981;4;109,4;110,2;109,6;109,9;108,6
1981;3;108,0;108,7;108,1;108,5;107,4
1981;2;106,9;107,7;107,2;107,4;106,2
1981;1;106,0;106,8;106,2;106,5;105,2
1980;12;104,8;105,5;105,0;105,3;104,5
1980;11;104,1;104,6;104,1;104,4;103,6
1980;10;103,5;103,9;103,2;103,6;102,6
1980;9;102,4;102,6;102,1;102,5;101,7
1980;8;101,5;101,8;101,3;101,6;100,7
1980;7;100,4;100,8;100,4;100,6;99,9
1980;6;98,8;99,2;99,0;99,2;99,0
1980;5;98,2;98,6;98,4;98,6;98,3
1980;4;97,4;97,6;97,5;97,7;97,5
1980;3;96,2;96,3;96,4;96,5;96,4
1980;2;95,2;95,0;95,3;95,4;95,5
1980;1;94,3;93,8;94,3;94,3;94,5
1979;12;93,1;91,7;;;
1979;11;92,6;90,9;;;
1979;10;91,9;90,2;;;
1979;9;90,7;89,2;;;
1979;8;89,9;88,5;;;
1979;7;89,3;87,5;;;
1979;6;88,2;86,2;;;
1979;5;87,5;85,3;;;
1979;4;86,8;84,4;;;
1979;3;85,9;83,5;;;
1979;2;85,2;82,8;;;
1979;1;84,7;82,2;;;
1978;12;83,9;81,4;;;
1978;11;83,5;81,0;;;
1978;10;83,0;80,5;;;
1978;9;82,1;79,7;;;
1978;8;81,5;79,2;;;
1978;7;81,0;78,8;;;
1978;6;80,3;77,7;;;
1978;5;79,8;77,1;;;
1978;4;79,1;76,1;;;
1978;3;78,3;75,4;;;
1978;2;77,5;74,7;;;
1978;1;76,9;74,1;;;
1977;12;76,5;73,8;;;
1977;11;76,3;73,5;;;
1977;10;76,1;73,1;;;
1977;9;75,4;72,4;;;
1977;8;74,7;71,9;;;
1977;7;74,2;71,6;;;
1977;6;73,6;71,1;;;
1977;5;73,0;70,6;;;
1977;4;72,2;70,1;;;
1977;3;71,4;69,3;;;
1977;2;70,8;68,8;;;
1977;1;70,4;68,5;;;
1976;12;70,1;68,3;;;
1976;11;69,8;68,2;;;
1976;10;69,3;67,6;;;
1976;9;68,8;67,0;;;
1976;8;68,0;66,5;;;
1976;7;67,4;66,2;;;
1976;6;66,8;65,5;;;
1976;5;66,5;65,2;;;
1976;4;66,2;64,8;;;
1976;3;65,5;64,1;;;
1976;2;65,1;63,6;;;
1976;1;64,7;63,3;;;
1975;12;63,9;62,5;;;
1975;11;63,7;62,2;;;
1975;10;63,2;61,8;;;
1975;9;62,7;61,4;;;
