Libellé;;Indice des taux de salaire horaire des ouvriers par activité - Ensemble des secteurs non agricoles - NAF rév. 2 - Poste ENS - Base 100 4ème trim 2008;Indice des taux de salaire horaire des ouvriers par activité - Industries de transformation, non compris la construction - NAF rév. 2 - Postes DE à C5 du niveau A17 - Base 100 4ème trim 2008;Indice des taux de salaire horaire des ouvriers par activité - Industries mécaniques et électriques (IME) - NAF rév. 2 - Postes  25-26-27-28-29-30-33 du niveau A88 - Base 100 4ème trim 2008;Indice des taux de salaire horaire des ouvriers par activité - Construction - NAF rév. 2 - Poste FZ du niveau A17 - Base 100 4ème trim 2008;Indice des taux de salaire horaire des ouvriers par activité - Tertiaire - NAF rév. 2 - Postes GZ à RU du niveau A17 - Base 100 4ème trim 2008;Indice des salaires mensuels de base par activité - Ensemble des secteurs non agricoles - NAF rév. 2 - Poste ENS - Base 100 4ème trim 2008;Indice des salaires mensuels de base par activité - Industries de transformation, non compris la construction - NAF rév. 2 - Postes DE à C5 du niveau A17 - Base 100 4ème trim 2008;Indice des salaires mensuels de base par activité - Industries mécaniques et électriques (IME) - NAF rév. 2 - Postes  25-26-27-28-29-30-33 du niveau A88 - Base 100 4ème trim 2008;Indice des salaires mensuels de base par activité - Construction - NAF rév. 2 - Poste FZ du niveau A17 - Base 100 4ème trim 2008;Indice des salaires mensuels de base par activité - Tertiaire - NAF rév. 2 - Postes GZ à RU du niveau A17 - Base 100 4ème trim 2008;Glissement annuel de l'indice des salaires mensuels de base par activité - Ensemble des secteurs non agricoles - NAF rév. 2 - Poste ENS;Indice des taux de salaire horaire des ouvriers et des employés par activité - Ensemble des secteurs non agricoles - NAF rév. 2 - Poste ENS - Base 100 4ème trim 2008;Indice des taux de salaire horaire des ouvriers et des employés par activité - Industries de transformation, non compris la construction - NAF rév. 2 - Postes DE à C5 du niveau A17 - Base 100 4ème trim 2008;Indice des taux de salaire horaire des ouvriers et des employés par activité - Construction - NAF rév. 2 - Poste FZ du niveau A17 - Base 100 4ème trim 2008;Indice des taux de salaire horaire des ouvriers et des employés par activité - Tertiaire - NAF rév. 2 - Postes GZ à RU du niveau A17 - Base 100 4ème trim 2008;Indice des taux de salaire horaire des ouvriers et des employés par activité - Industries mécaniques et électriques (IME) - NAF rév. 2 - Postes  25-26-27-28-29-30-33 du niveau A88 - Base 100 4ème trim 2008
IdBank;;001567407;001567408;001567409;001567410;001567411;001567453;001567454;001567455;001567456;001567457;001643152;001657369;001657370;001657371;001657372;001657375
Année;Trimestre
2014;3;111,6;112,5;112,7;111,7;110,9;111,3;112,2;112,8;111,6;111,0;1,4;111,3;112,4;111,6;110,8;112,7
2014;2;111,4;112,2;112,4;111,4;110,7;111,0;111,9;112,4;111,4;110,7;1,4;111,0;112,1;111,4;110,6;112,4
2014;1;111,0;111,7;111,8;111,0;110,4;110,6;111,4;111,7;111,1;110,3;1,5;110,7;111,7;111,0;110,3;111,8
2013;4;110,2;110,9;111,0;110,1;109,7;109,9;110,6;111,0;110,1;109,7;1,6;110,0;110,8;110,1;109,6;111,0
2013;3;110,0;110,7;110,7;109,8;109,5;109,7;110,4;110,8;109,9;109,4;1,6;109,8;110,6;109,8;109,4;110,7
2013;2;109,7;110,4;110,4;109,6;109,2;109,5;110,1;110,4;109,7;109,2;1,8;109,5;110,3;109,6;109,2;110,4
2013;1;109,3;109,8;109,8;109,2;108,9;109,0;109,5;109,7;109,3;108,8;1,9;109,0;109,8;109,2;108,8;109,8
2012;4;108,4;109,0;109,0;108,3;108,0;108,2;108,7;108,9;108,3;108,0;2,1;108,3;108,9;108,3;108,0;109,0
2012;3;108,2;108,7;108,7;108,1;107,8;108,0;108,5;108,7;108,1;107,8;2,2;108,0;108,6;108,1;107,8;108,7
2012;2;107,7;108,2;108,2;107,8;107,2;107,5;108,0;108,2;107,8;107,3;2,1;107,4;108,1;107,8;107,1;108,2
2012;1;107,1;107,5;107,5;107,2;106,8;107,0;107,4;107,4;107,3;106,8;2,2;106,9;107,5;107,3;106,7;107,5
2011;4;106,1;106,3;106,3;106,2;105,9;106,0;106,2;106,4;106,2;106,0;2,3;106,0;106,3;106,2;105,9;106,3
2011;3;105,8;106,0;106,0;106,0;105,5;105,7;105,9;106,1;106,0;105,6;2,2;105,5;106,0;106,0;105,3;106,0
2011;2;105,4;105,6;105,5;105,7;105,1;105,3;105,6;105,7;105,7;105,2;2,2;105,2;105,5;105,7;104,9;105,5
2011;1;104,8;104,8;104,7;105,1;104,6;104,7;104,8;104,8;105,2;104,6;2,0;104,6;104,8;105,2;104,4;104,7
2010;4;103,7;103,7;103,5;104,0;103,7;103,7;103,7;103,7;104,0;103,6;1,8;103,6;103,7;104,0;103,5;103,5
2010;3;103,5;103,4;103,3;103,8;103,5;103,4;103,4;103,4;103,8;103,3;1,7;103,3;103,4;103,8;103,2;103,3
2010;2;103,2;103,0;102,9;103,5;103,2;103,1;103,1;103,0;103,6;103,0;1,9;103,0;103,0;103,5;102,9;102,9
2010;1;102,7;102,5;102,3;103,0;102,9;102,6;102,5;102,4;103,1;102,6;1,8;102,6;102,5;103,1;102,6;102,3
2009;4;101,9;101,8;101,6;102,2;102,0;101,9;101,8;101,7;102,2;101,9;1,9;101,9;101,8;102,2;101,9;101,6
