Libellé;;Chômeurs au sens du BIT - Ensemble - En milliers de personnes - Données CVS - France métropolitaine;Chômeurs au sens du BIT - Ensemble des 25 à 49 ans - En milliers de personnes - Données CVS - France métropolitaine;Chômeurs au sens du BIT - Ensemble des 50 ans et plus - En milliers de personnes - Données CVS - France métropolitaine;Chômeurs au sens du BIT - Ensemble des femmes - En milliers de personnes - Données CVS - France métropolitaine;Chômeurs au sens du BIT - Ensemble des hommes - En milliers de personnes - Données CVS - France métropolitaine;Chômeurs au sens du BIT - Ensemble des moins de 25 ans - En milliers de personnes - Données CVS - France métropolitaine;Chômeurs au sens du BIT - Femmes de 25 à 49 ans - En milliers de personnes - Données CVS - France métropolitaine;Chômeurs au sens du BIT - Femmes de 50 ans et plus - Données CVS - France métropolitaine;Chômeurs au sens du BIT - Femmes de moins de 25 ans - En milliers de personnes - Données CVS - France métropolitaine;Chômeurs au sens du BIT - Hommes de 25 à 49 ans - En milliers de personnes - Données CVS - France métropolitaine;Chômeurs au sens du BIT - Hommes de 50 ans et plus - En milliers de personnes - Données CVS - France métropolitaine;Chômeurs au sens du BIT - Hommes de moins de 25 ans - En milliers de personnes - Données CVS - France métropolitaine;Taux de chômage au sens du BIT - Ensemble - Données CVS - France métropolitaine;Taux de chômage au sens du BIT - Ensemble - Données CVS - France métropolitaine + DOM;Taux de chômage au sens du BIT - Ensemble des 25 à 49 ans - Données CVS - France métropolitaine;Taux de chômage au sens du BIT - Ensemble des 25 à 49 ans - Données CVS - France métropolitaine + DOM;Taux de chômage au sens du BIT - Ensemble des 50 ans et plus - Données CVS;Taux de chômage au sens du BIT - Ensemble des 50 ans et plus - Données CVS - France métropolitaine + DOM;Taux de chômage au sens du BIT - Ensemble des femmes - Données CVS - France métropolitaine;Taux de chômage au sens du BIT - Ensemble des femmes - Données CVS - France métropolitaine + DOM;Taux de chômage au sens du BIT - Ensemble des hommes - Données CVS - France métropolitaine;Taux de chômage au sens du BIT - Ensemble des hommes - Données CVS - France métropolitaine + DOM;Taux de chômage au sens du BIT - Ensemble des moins de 25 ans - Données CVS - France métropolitaine;Taux de chômage au sens du BIT - Ensemble des moins de 25 ans - Données CVS - France métropolitaine + DOM;Taux de chômage au sens du BIT - Femmes de 25 à 49 ans - Données CVS - France métropolitaine;Taux de chômage au sens du BIT - Femmes de 25 à 49 ans - Données CVS - France métropolitaine + DOM;Taux de chômage au sens du BIT - Femmes de 50 ans et plus - Données CVS - France métropolitaine;Taux de chômage au sens du BIT - Femmes de 50 ans et plus - Données CVS - France métropolitaine + DOM;Taux de chômage au sens du BIT - Femmes de moins de 25 ans - Données CVS - France métropolitaine;Taux de chômage au sens du BIT - Femmes de moins de 25 ans - Données CVS - France métropolitaine + DOM;Taux de chômage au sens du BIT - Hommes de 25 à 49 ans - Données CVS - France métropolitaine;Taux de chômage au sens du BIT - Hommes de 25 à 49 ans - Données CVS - France métropolitaine + DOM;Taux de chômage au sens du BIT - Hommes de 50 ans et plus - Données CVS - France métropolitaine;Taux de chômage au sens du BIT - Hommes de 50 ans et plus - Données CVS - France métropolitaine + DOM;Taux de chômage au sens du BIT - Hommes de moins de 25 ans - Données CVS - France métropolitaine;Taux de chômage au sens du BIT - Hommes de moins de 25 ans - Données CVS - France métropolitaine + DOM
IdBank;;001688358;001688359;001688361;001688362;001688363;001688364;001688365;001688366;001688367;001688368;001688369;001688370;001688526;001688527;001688528;001688529;001688530;001688531;001688532;001688533;001688534;001688535;001688536;001688537;001688538;001688539;001688540;001688541;001688542;001688543;001688544;001688545;001688546;001688547;001688548;001688549
Année;Trimestre
2014;3;2 841;1 674;532;1 339;1 502;635;794;268;277;880;265;358;9,9;10,4;9,3;9,7;6,7;6,9;9,7;10,2;10,1;10,5;23,7;24,6;9,2;9,7;6,8;7,1;22,9;23,8;9,4;9,8;6,5;6,8;24,4;25,3
2014;2;2 764;1 642;516;1 295;1 469;607;789;249;258;853;267;349;9,7;10,1;9,1;9,6;6,5;6,8;9,4;9,9;9,9;10,3;22,7;23,6;9,2;9,7;6,4;6,6;21,4;22,3;9,1;9,5;6,7;6,9;23,8;24,7
2014;1;2 776;1 631;528;1 287;1 489;616;753;259;275;878;270;341;9,7;10,1;9,1;9,5;6,7;6,9;9,4;9,9;10,0;10,4;22,8;23,7;8,7;9,2;6,7;7,0;22,6;23,5;9,4;9,7;6,7;6,9;23,0;23,9
2013;4;2 757;1 645;499;1 325;1 431;613;800;244;282;845;255;331;9,7;10,1;9,1;9,5;6,4;6,6;9,7;10,1;9,7;10,0;22,7;23,6;9,2;9,7;6,4;6,7;22,9;23,9;9,0;9,4;6,4;6,6;22,5;23,4
2013;3;2 828;1 661;518;1 323;1 505;650;780;245;299;881;273;351;9,9;10,3;9,2;9,6;6,6;6,9;9,7;10,1;10,1;10,4;23,8;24,7;9,0;9,5;6,5;6,7;24,3;25,2;9,3;9,7;6,8;7,0;23,5;24,4
2013;2;2 848;1 668;510;1 339;1 509;670;793;237;308;875;273;362;10,0;10,4;9,2;9,6;6,6;6,8;9,8;10,3;10,1;10,5;24,4;25,3;9,1;9,6;6,3;6,6;25,1;26,0;9,3;9,6;6,8;7,0;23,9;24,7
2013;1;2 826;1 637;503;1 322;1 504;685;782;233;307;855;270;379;9,9;10,3;9,1;9,5;6,5;6,7;9,7;10,2;10,1;10,4;24,8;25,6;9,1;9,6;6,3;6,5;24,6;25,3;9,1;9,4;6,8;7,0;24,9;25,7
2012;4;2 780;1 586;492;1 307;1 472;702;774;222;311;812;269;391;9,7;10,1;8,8;9,2;6,3;6,5;9,6;10,1;9,8;10,2;25,3;26,1;9,0;9,5;5,9;6,2;24,9;25,7;8,6;8,9;6,7;6,9;25,6;26,4
2012;3;2 673;1 563;449;1 264;1 409;660;763;212;289;801;237;371;9,4;9,8;8,6;9,1;5,9;6,1;9,3;9,8;9,4;9,8;24,1;24,8;8,8;9,3;5,8;6,0;23,6;24,3;8,5;8,8;6,0;6,2;24,4;25,2
2012;2;2 649;1 580;448;1 273;1 376;622;778;223;272;802;225;349;9,3;9,7;8,7;9,1;5,9;6,1;9,4;9,8;9,3;9,6;22,8;23,6;9,0;9,5;6,1;6,3;21,9;22,7;8,5;8,8;5,8;5,9;23,5;24,3
2012;1;2 581;1 553;422;1 219;1 362;605;761;189;268;793;233;337;9,1;9,5;8,6;9,0;5,6;5,8;9,0;9,5;9,2;9,5;22,1;22,9;8,8;9,3;5,2;5,5;21,7;22,5;8,4;8,7;6,0;6,2;22,5;23,3
