Libellé;;Taux de chômage au sens du BIT - Hommes de moins de 25 ans - Données CVS - Série arrêtée;Taux de chômage au sens du BIT - Hommes de 25 à 49 ans - Données CVS - Série arrêtée;Taux de chômage au sens du BIT - Hommes de 50 ans et plus - Données CVS - Série arrêtée;Taux de chômage au sens du BIT - Ensemble des hommes - Données CVS - Série arrêtée;Taux de chômage au sens du BIT - Femmes de moins de 25 ans - Données CVS - Série arrêtée;Taux de chômage au sens du BIT - Femmes de 25 à 49 ans - Données CVS - Série arrêtée;Taux de chômage au sens du BIT - Femmes de 50 ans et plus - Données CVS - Série arrêtée;Taux de chômage au sens du BIT - Ensemble des femmes - Données CVS - Série arrêtée;Taux de chômage au sens du BIT - Ensemble des moins de 25 ans - Données CVS - Série arrêtée;Taux de chômage au sens du BIT - Ensemble des 25 à 49 ans - Données CVS - Série arrêtée;Taux de chômage au sens du BIT - Ensemble des 50 ans et plus - Données CVS - Série arrêtée;Taux de chômage au sens du BIT - Ensemble - Données CVS - Série arrêtée
IdBank;;000459359;000459360;000459361;000459362;000459363;000459364;000459365;000459366;000459367;000459368;000459369;000459370
Année;Mois
2007;7;19,5;6,4;5,1;7,4;23,0;8,1;5,4;8,7;21,0;7,2;5,3;8,0
2007;6;19,4;6,4;5,1;7,4;23,0;8,1;5,4;8,7;20,9;7,2;5,3;8,0
2007;5;19,4;6,6;5,2;7,5;23,2;8,2;5,5;8,8;21,0;7,3;5,4;8,1
2007;4;19,5;6,6;5,4;7,6;23,2;8,3;5,6;8,9;21,1;7,4;5,5;8,2
2007;3;19,6;6,7;5,4;7,7;23,4;8,4;5,7;9,0;21,2;7,5;5,5;8,3
2007;2;19,7;6,8;5,5;7,8;23,6;8,5;5,8;9,1;21,4;7,6;5,7;8,4
2007;1;19,8;6,9;5,6;7,9;23,7;8,6;5,9;9,2;21,5;7,7;5,8;8,5
2006;12;19,9;6,9;5,6;7,9;23,7;8,7;5,9;9,3;21,5;7,7;5,8;8,6
2006;11;20,0;7,0;5,7;8,0;23,7;8,8;6,0;9,4;21,6;7,8;5,8;8,6
2006;10;20,0;7,0;5,8;8,0;23,7;8,9;6,1;9,5;21,6;7,9;5,9;8,7
2006;9;20,0;7,0;5,8;8,1;23,6;8,9;6,2;9,5;21,5;7,9;6,0;8,7
2006;8;20,0;7,1;5,9;8,2;23,6;9,1;6,3;9,7;21,6;8,1;6,1;8,9
2006;7;20,0;7,2;6,0;8,2;23,5;9,2;6,4;9,7;21,5;8,1;6,2;8,9
2006;6;20,2;7,2;6,0;8,3;23,7;9,3;6,4;9,9;21,7;8,2;6,2;9,0
2006;5;20,3;7,3;6,1;8,4;23,7;9,4;6,5;10,0;21,8;8,3;6,3;9,1
2006;4;20,4;7,5;6,2;8,5;23,8;9,6;6,6;10,1;21,9;8,4;6,4;9,3
2006;3;20,6;7,6;6,3;8,6;23,9;9,7;6,7;10,2;22,0;8,6;6,5;9,4
2006;2;20,7;7,7;6,3;8,7;23,9;9,8;6,7;10,3;22,1;8,7;6,5;9,5
2006;1;20,7;7,7;6,4;8,7;23,9;9,9;6,8;10,4;22,1;8,7;6,6;9,5
2005;12;20,7;7,7;6,4;8,7;23,9;10,0;6,9;10,5;22,1;8,8;6,6;9,5
2005;11;20,7;7,8;6,4;8,8;24,0;10,0;6,9;10,6;22,1;8,8;6,7;9,6
2005;10;20,7;7,8;6,5;8,8;24,0;10,1;7,0;10,6;22,2;8,9;6,7;9,7
2005;9;20,9;7,9;6,6;8,9;24,0;10,2;7,1;10,7;22,3;9,0;6,8;9,7
2005;8;20,9;8,0;6,6;9,0;24,0;10,3;7,1;10,8;22,3;9,0;6,9;9,8
2005;7;21,0;8,0;6,7;9,0;24,0;10,3;7,2;10,8;22,3;9,1;6,9;9,9
2005;6;21,2;8,1;6,7;9,1;24,1;10,4;7,2;10,9;22,5;9,2;6,9;10,0
2005;5;21,3;8,2;6,7;9,2;24,3;10,5;7,3;11,0;22,6;9,3;7,0;10,0
2005;4;21,2;8,1;6,7;9,2;24,2;10,5;7,3;11,0;22,5;9,2;7,0;10,0
2005;3;21,2;8,1;6,8;9,2;24,1;10,5;7,4;11,0;22,5;9,2;7,0;10,0
2005;2;21,1;8,1;6,8;9,1;24,0;10,5;7,4;11,0;22,4;9,2;7,1;10,0
2005;1;21,1;8,1;6,8;9,1;24,1;10,5;7,5;11,0;22,4;9,2;7,1;10,0
2004;12;21,2;8,0;6,8;9,1;24,1;10,4;7,5;11,0;22,5;9,2;7,1;10,0
2004;11;21,2;8,0;6,8;9,1;24,0;10,5;7,6;11,1;22,5;9,2;7,2;10,0
2004;10;21,2;8,0;6,8;9,1;23,9;10,4;7,6;11,0;22,4;9,1;7,2;10,0
2004;9;21,3;8,0;6,8;9,1;24,0;10,4;7,7;11,1;22,5;9,1;7,2;10,0
2004;8;21,2;7,9;6,9;9,1;23,9;10,4;7,8;11,1;22,4;9,1;7,3;10,0
2004;7;21,1;7,9;6,8;9,0;23,8;10,4;7,8;11,0;22,3;9,1;7,3;10,0
2004;6;21,1;7,9;6,9;9,1;23,7;10,4;7,8;11,1;22,3;9,1;7,3;10,0
2004;5;21,1;7,9;6,9;9,0;23,7;10,4;7,9;11,0;22,2;9,0;7,3;10,0
2004;4;21,0;7,8;6,9;9,0;23,5;10,3;7,9;11,0;22,1;9,0;7,3;9,9
2004;3;21,0;7,8;6,9;9,0;23,5;10,3;7,9;11,0;22,1;9,0;7,4;9,9
2004;2;20,9;7,8;7,0;9,0;23,4;10,3;8,0;11,0;22,0;9,0;7,4;10,0
2004;1;20,8;7,9;7,0;9,1;23,2;10,4;7,9;11,0;21,9;9,0;7,4;10,0
2003;12;20,9;8,0;7,1;9,2;23,2;10,5;8,0;11,2;21,9;9,2;7,6;10,1
2003;11;20,7;7,9;7,1;9,1;23,1;10,5;8,0;11,1;21,8;9,1;7,6;10,0
2003;10;20,6;8,0;7,1;9,1;22,9;10,5;8,0;11,1;21,6;9,2;7,6;10,1
2003;9;20,4;7,9;7,2;9,1;22,7;10,5;8,1;11,1;21,4;9,1;7,6;10,0
2003;8;20,4;7,8;7,1;9,0;22,6;10,4;8,0;11,0;21,3;9,0;7,5;9,9
2003;7;20,3;7,8;7,1;9,0;22,4;10,5;8,0;11,1;21,2;9,1;7,5;10,0
2003;6;20,2;7,8;7,1;8,9;22,2;10,4;8,0;11,0;21,1;9,0;7,5;9,9
2003;5;20,1;7,7;7,1;8,9;22,0;10,3;7,9;10,9;20,9;8,9;7,5;9,8
2003;4;20,0;7,6;7,1;8,8;21,9;10,3;7,9;10,8;20,8;8,8;7,4;9,7
2003;3;19,9;7,5;7,0;8,7;21,8;10,2;7,9;10,8;20,7;8,8;7,4;9,7
2003;2;19,8;7,4;7,0;8,6;21,6;10,1;7,8;10,7;20,6;8,7;7,4;9,6
2003;1;19,6;7,3;6,9;8,5;21,5;10,1;7,6;10,6;20,4;8,6;7,2;9,5
