Libellé;Salaire net annuel moyen des postes à temps complet - Hommes;Salaire net annuel moyen des postes à temps complet - Femmes;Salaire net annuel moyen des postes à temps complet - Ensemble des salariés;Salaire net annuel moyen des postes à temps complet - Chefs d'entreprise - Hommes;Salaire net annuel moyen des postes à temps complet - Chefs d'entreprise - Femmes;Salaire net annuel moyen des postes à temps complet - Chefs d'entreprise - Ensemble des salariés;Salaire net annuel moyen des postes à temps complet - Cadres et professions intellectuelles supérieures - Hommes;Salaire net annuel moyen des postes à temps complet - Cadres et professions intellectuelles supérieures - Femmes;Salaire net annuel moyen des postes à temps complet - Cadres et professions intellectuelles supérieures - Ensemble des salariés;Salaire net annuel moyen des postes à temps complet - Professions intermédiaires - Hommes;Salaire net annuel moyen des postes à temps complet - Professions intermédiaires - Femmes;Salaire net annuel moyen des postes à temps complet - Professions intermédiaires - Ensemble des salariés;Salaire net annuel moyen des postes à temps complet - Employés - Hommes;Salaire net annuel moyen des postes à temps complet - Employés - Femmes;Salaire net annuel moyen des postes à temps complet - Employés - Ensemble des salariés;Salaire net annuel moyen des postes à temps complet - Ouvriers - Hommes;Salaire net annuel moyen des postes à temps complet - Ouvriers - Femmes;Salaire net annuel moyen des postes à temps complet - Ouvriers - Ensemble des salariés;Salaire net annuel moyen des postes à temps complet - Apprentis et stagiaires - Hommes;Salaire net annuel moyen des postes à temps complet - Apprentis et stagiaires - Femmes;Salaire net annuel moyen des postes à temps complet - Apprentis et stagiaires - Ensemble des salariés
IdBank;001665149;001665150;001665151;001665162;001665163;001665164;001665165;001665166;001665167;001665168;001665169;001665170;001665171;001665172;001665173;001665174;001665175;001665176;001665177;001665178;001665179
Dernière mise à jour;27 Octobre 2014;27 Octobre 2014;27 Octobre 2014;27 Octobre 2014;27 Octobre 2014;27 Octobre 2014;27 Octobre 2014;27 Octobre 2014;27 Octobre 2014;27 Octobre 2014;27 Octobre 2014;27 Octobre 2014;27 Octobre 2014;27 Octobre 2014;27 Octobre 2014;27 Octobre 2014;27 Octobre 2014;27 Octobre 2014;27 Octobre 2014;27 Octobre 2014;27 Octobre 2014
Mode de représentation;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue
Correction;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé
Période de référence de l'indice;;;;;;;;;;;;;;;;;;;;;
Périodicité;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle
Date de début;1950;1950;1950;1984;1984;1984;1984;1984;1984;1984;1984;1984;1984;1984;1984;1984;1984;1984;1984;1984;1984
Date de fin;2011;2011;2011;2011;2011;2011;2011;2011;2011;2011;2011;2011;2011;2011;2011;2011;2011;2011;2011;2011;2011
Zone géographique;France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000;France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000;France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000;France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000;France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000;France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000;France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000;France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000;France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000;France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000;France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000;France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000;France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000;France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000;France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000;France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000;France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000;France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000;France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000;France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000;France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000
Unité de mesure;Euros;Euros;Euros;Euros;Euros;Euros;Euros;Euros;Euros;Euros;Euros;Euros;Euros;Euros;Euros;Euros;Euros;Euros;Euros;Euros;Euros
Puissance;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Traitement des taxes;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet
