Libellé;Indice trimestriel de stocks (total) - En valeur - Dans le secteur : Industrie hors énergie et hors IAA - Série CVS - Série en NAF rév. 1 - Série arrêtée;Indice trimestriel de stocks (total) - En valeur - Dans le secteur : Industrie hors énergie et hors IAA - Série brute - Série en NAF rév. 1 - Série arrêtée;Indice trimestriel de stocks (produits) - En valeur - Dans le secteur : Industrie hors énergie et hors IAA - Série CVS - Série en NAF rév. 1 - Série arrêtée;Indice trimestriel de stocks (produits) - En valeur - Dans le secteur : Industrie hors énergie et hors IAA - Série brute - Série en NAF rév. 1 - Série arrêtée;Indice trimestriel de stocks (matières) - En valeur - Dans le secteur : Industrie hors énergie et hors IAA - Série CVS - Série en NAF rév. 1 - Série arrêtée;Indice trimestriel de stocks (matières) - En valeur - Dans le secteur : Industrie hors énergie et hors IAA - Série brute - Série en NAF rév. 1 - Série arrêtée;Indice trimestriel de stocks (total) - En valeur - Dans le secteur : Industrie y compris IAA - Série CVS - Série en NAF rév. 1 - Série arrêtée;Indice trimestriel de stocks (total) - En valeur - Dans le secteur : Industrie y compris IAA - Série brute - Série en NAF rév. 1 - Série arrêtée;Indice trimestriel de stocks (produits) - En valeur - Dans le secteur : Industrie y compris IAA - Série CVS - Série en NAF rév. 1 - Série arrêtée;Indice trimestriel de stocks (produits) - En valeur - Dans le secteur : Industrie y compris IAA - Série brute - Série en NAF rév. 1 - Série arrêtée;Indice trimestriel de stocks (matières) - En valeur - Dans le secteur : Industrie y compris IAA - Série CVS - Série en NAF rév. 1 - Série arrêtée;Indice trimestriel de stocks (matières) - En valeur - Dans le secteur : Industrie y compris IAA - Série brute - Série en NAF rév. 1 - Série arrêtée;Indice trimestriel de stocks (total) - En valeur - Dans le secteur : Commerce - Série CVS - Série en NAF rév. 1 - Série arrêtée;Indice trimestriel de stocks (total) - En valeur - Dans le secteur : Commerce - Série brute - Série en NAF rév. 1 - Série arrêtée;Indice trimestriel de stocks (total) - En valeur - Dans le secteur : Services - Série brute - Série en NAF rév. 1 - Série arrêtée
IdBank;000848443;000848444;000848445;000848446;000848447;000848448;000848449;000848450;000848451;000848452;000848453;000848454;000848455;000848456;000848457
Dernière mise à jour;16 Décembre 2008;16 Décembre 2008;16 Décembre 2008;16 Décembre 2008;16 Décembre 2008;16 Décembre 2008;16 Décembre 2008;16 Décembre 2008;16 Décembre 2008;16 Décembre 2008;16 Décembre 2008;16 Décembre 2008;16 Décembre 2008;16 Décembre 2008;16 Décembre 2008
Mode de représentation;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice
Correction;Corrigé des variations saisonnières (CVS);Non corrigé;Corrigé des variations saisonnières (CVS);Non corrigé;Corrigé des variations saisonnières (CVS);Non corrigé;Corrigé des variations saisonnières (CVS);Non corrigé;Corrigé des variations saisonnières (CVS);Non corrigé;Corrigé des variations saisonnières (CVS);Non corrigé;Corrigé des variations saisonnières (CVS);Non corrigé;Non corrigé
Période de référence de l'indice;100 = 1er trimestre 2000;100 = 1er trimestre 2000;100 = 1er trimestre 2000;100 = 1er trimestre 2000;100 = 1er trimestre 2000;100 = 1er trimestre 2000;100 = 1er trimestre 2000;100 = 1er trimestre 2000;100 = 1er trimestre 2000;100 = 1er trimestre 2000;100 = 1er trimestre 2000;100 = 1er trimestre 2000;100 = 1er trimestre 2000;100 = 1er trimestre 2000;100 = 1er trimestre 2000
Périodicité;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle
Date de début;Trimestre 2 de 1993;Trimestre 2 de 1993;Trimestre 2 de 1993;Trimestre 2 de 1993;Trimestre 2 de 1993;Trimestre 2 de 1993;Trimestre 2 de 1993;Trimestre 2 de 1993;Trimestre 2 de 1993;Trimestre 2 de 1993;Trimestre 2 de 1993;Trimestre 2 de 1993;Trimestre 2 de 1993;Trimestre 2 de 1993;Trimestre 1 de 2000
Date de fin;Trimestre 3 de 2008;Trimestre 3 de 2008;Trimestre 3 de 2008;Trimestre 3 de 2008;Trimestre 3 de 2008;Trimestre 3 de 2008;Trimestre 3 de 2008;Trimestre 3 de 2008;Trimestre 3 de 2008;Trimestre 3 de 2008;Trimestre 3 de 2008;Trimestre 3 de 2008;Trimestre 3 de 2008;Trimestre 3 de 2008;Trimestre 3 de 2008
Zone géographique;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine
Unité de mesure;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet
Puissance;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Traitement des taxes;HT (Hors Taxes);HT (Hors Taxes);HT (Hors Taxes);HT (Hors Taxes);HT (Hors Taxes);HT (Hors Taxes);HT (Hors Taxes);HT (Hors Taxes);HT (Hors Taxes);HT (Hors Taxes);HT (Hors Taxes);HT (Hors Taxes);HT (Hors Taxes);HT (Hors Taxes);HT (Hors Taxes)
