Libellé;;Indice trimestriel de stocks (total) - En valeur - Dans le secteur : Industrie hors énergie et hors IAA - Série CVS - Série en NAF rév. 1 - Série arrêtée;Indice trimestriel de stocks (total) - En valeur - Dans le secteur : Industrie hors énergie et hors IAA - Série brute - Série en NAF rév. 1 - Série arrêtée;Indice trimestriel de stocks (produits) - En valeur - Dans le secteur : Industrie hors énergie et hors IAA - Série CVS - Série en NAF rév. 1 - Série arrêtée;Indice trimestriel de stocks (produits) - En valeur - Dans le secteur : Industrie hors énergie et hors IAA - Série brute - Série en NAF rév. 1 - Série arrêtée;Indice trimestriel de stocks (matières) - En valeur - Dans le secteur : Industrie hors énergie et hors IAA - Série CVS - Série en NAF rév. 1 - Série arrêtée;Indice trimestriel de stocks (matières) - En valeur - Dans le secteur : Industrie hors énergie et hors IAA - Série brute - Série en NAF rév. 1 - Série arrêtée;Indice trimestriel de stocks (total) - En valeur - Dans le secteur : Industrie y compris IAA - Série CVS - Série en NAF rév. 1 - Série arrêtée;Indice trimestriel de stocks (total) - En valeur - Dans le secteur : Industrie y compris IAA - Série brute - Série en NAF rév. 1 - Série arrêtée;Indice trimestriel de stocks (produits) - En valeur - Dans le secteur : Industrie y compris IAA - Série CVS - Série en NAF rév. 1 - Série arrêtée;Indice trimestriel de stocks (produits) - En valeur - Dans le secteur : Industrie y compris IAA - Série brute - Série en NAF rév. 1 - Série arrêtée;Indice trimestriel de stocks (matières) - En valeur - Dans le secteur : Industrie y compris IAA - Série CVS - Série en NAF rév. 1 - Série arrêtée;Indice trimestriel de stocks (matières) - En valeur - Dans le secteur : Industrie y compris IAA - Série brute - Série en NAF rév. 1 - Série arrêtée;Indice trimestriel de stocks (total) - En valeur - Dans le secteur : Commerce - Série CVS - Série en NAF rév. 1 - Série arrêtée;Indice trimestriel de stocks (total) - En valeur - Dans le secteur : Commerce - Série brute - Série en NAF rév. 1 - Série arrêtée;Indice trimestriel de stocks (total) - En valeur - Dans le secteur : Services - Série brute - Série en NAF rév. 1 - Série arrêtée
IdBank;;000848443;000848444;000848445;000848446;000848447;000848448;000848449;000848450;000848451;000848452;000848453;000848454;000848455;000848456;000848457
Année;Trimestre
2008;3;129,7;131,1;128,6;130,3;122,7;124,5;127,2;128,3;129,0;129,3;116,8;119,0;134,6;134,9;190,5
2008;2;127,4;129,2;126,6;129,1;120,7;122,0;125,2;126,7;127,1;128,7;116,1;116,9;131,1;128,4;177,5
2008;1;125,6;126,1;125,0;125,5;119,4;119,9;122,9;123,3;124,0;124,5;115,1;114,6;128,8;128,1;177,0
2007;4;124,7;121,6;125,1;120,7;117,1;115,3;121,3;119,5;122,7;118,9;113,0;113,5;127,6;127,6;157,7
2007;3;121,6;123,0;120,6;122,2;115,6;117,3;117,9;118,9;118,1;118,4;110,9;113,0;123,8;124,1;168,1
2007;2;119,6;121,3;118,9;121,3;114,0;115,3;115,0;116,4;115,7;117,2;108,5;109,2;121,5;119,0;158,4
2007;1;117,7;118,0;117,4;118,0;111,4;111,9;113,7;114,0;114,5;114,9;106,7;106,4;118,9;118,3;152,4
2006;4;115,4;112,4;116,0;112,0;109,2;107,6;112,0;110,3;113,1;109,6;105,7;106,0;119,5;119,5;137,0
2006;3;114,0;115,4;114,3;116,0;107,2;108,8;110,7;111,8;112,2;112,4;103,2;105,3;119,0;119,2;152,4
2006;2;112,8;114,4;113,2;115,4;105,9;107,1;110,4;111,8;110,9;112,4;105,1;105,8;117,9;115,5;153,7
2006;1;112,2;112,5;112,6;113,0;105,1;105,6;109,3;109,5;110,3;110,6;102,4;102,1;117,5;116,9;142,2
2005;4;110,8;107,9;110,7;106,8;106,0;104,4;108,1;106,4;108,6;105,2;102,8;103,0;116,3;116,2;128,1
2005;3;108,8;110,3;108,4;110,0;103,6;105,2;106,4;107,6;106,8;107,1;101,1;103,3;115,5;115,7;134,0
2005;2;109,0;110,5;108,6;110,8;103,8;104,9;106,5;107,8;106,6;108,1;102,0;102,7;114,1;111,9;139,1
2005;1;108,3;108,5;107,8;108,2;103,3;103,7;105,8;106,0;105,7;105,9;101,5;101,2;112,4;111,9;133,3
2004;4;107,3;104,5;107,3;103,5;102,3;100,8;104,8;103,0;105,0;101,8;100,1;100,2;112,6;112,5;126,0
2004;3;108,1;109,7;108,9;110,7;100,7;102,4;106,0;107,4;107,3;107,7;99,8;102,0;112,6;112,6;145,2
2004;2;106,7;108,2;108,4;110,5;99,0;100,1;104,3;105,6;105,9;107,4;98,3;99,0;112,4;110,3;125,7
2004;1;106,4;106,6;108,4;108,7;98,5;98,8;104,0;104,1;105,5;105,6;97,9;97,6;111,3;111,0;116,3
2003;4;107,4;104,4;109,5;105,6;99,1;97,7;105,0;103,1;106,8;103,4;98,6;98,4;112,1;112,0;110,8
2003;3;108,7;110,4;110,9;112,7;99,9;101,6;106,0;107,6;107,6;108,1;100,0;102,4;114,0;113,7;123,4
2003;2;108,7;110,3;110,8;113,1;100,6;101,7;106,0;107,4;107,3;108,9;100,8;101,6;114,8;112,8;109,8
2003;1;109,7;109,8;112,3;112,5;101,4;101,6;107,6;107,7;109,4;109,5;101,8;101,6;115,5;115,2;122,1
2002;4;110,2;107,2;113,0;109,0;101,2;99,9;108,2;106,1;110,0;106,5;102,2;101,8;113,8;113,7;118,6
2002;3;111,0;112,6;113,4;115,2;102,0;103,7;108,4;110,1;110,4;110,9;102,5;105,0;113,0;112,5;111,2
2002;2;111,4;113,1;113,3;115,7;104,1;105,2;108,8;110,2;110,3;111,9;103,7;104,5;111,7;109,8;113,1
2002;1;111,1;111,2;112,0;112,1;105,1;105,2;108,6;108,7;109,0;109,1;104,4;104,2;114,8;114,8;110,4
2001;4;110,7;107,7;111,2;107,2;106,2;104,9;108,2;106,1;108,7;105,2;104,4;104,0;113,5;113,5;103,7
2001;3;110,1;111,6;109,7;111,4;107,2;109,0;109,9;111,7;108,8;109,4;109,7;112,3;112,3;111,6;121,6
2001;2;109,3;111,1;108,2;110,7;107,8;109,0;107,9;109,4;108,1;109,7;104,8;105,6;111,6;109,6;124,2
2001;1;109,4;109,4;109,5;109,6;106,5;106,5;106,0;106,0;108,8;108,8;100,5;100,4;109,7;109,7;109,1
2000;4;106,8;103,9;105,7;102,0;107,0;105,8;105,9;103,7;105,8;102,4;104,9;104,4;106,4;106,5;112,7
2000;3;104,4;105,7;103,4;104,9;104,6;106,3;104,0;105,6;103,3;103,8;105,4;107,9;103,0;102,4;118,7
2000;2;100,7;102,6;99,9;102,3;101,6;102,6;100,9;102,3;100,2;101,7;102,1;103,1;101,6;99,8;100,7
2000;1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
1999;4;98,5;;98,9;;98,7;;97,8;;98,2;;99,6;;101,3;;
1999;3;97,1;;98,7;;95,2;;95,6;;97,9;;95,4;;96,1;;
1999;2;97,0;;99,8;;93,7;;96,3;;99,1;;94,2;;95,7;;
1999;1;96,1;;99,0;;93,7;;95,1;;97,4;;93,7;;96,3;;
1998;4;95,8;93,1;98,2;94,6;94,0;93,0;94,7;92,9;97,0;94,0;93,6;93,1;95,8;95,7;
