Date,Open,High,Low,Close,Volume,Adj Close
2014-11-03,3082.32,3082.32,3034.24,3034.24,000,3034.24
2014-10-01,3195.08,3195.08,2874.65,3113.32,000,3113.32
2014-09-01,3175.05,3277.25,3175.05,3225.93,000,3225.93
2014-08-01,3072.57,3197.54,3006.83,3172.63,000,3172.63
2014-07-01,3258.71,3289.75,3115.51,3115.51,000,3115.51
2014-06-02,3247.80,3314.80,3227.85,3228.24,000,3228.24
2014-05-01,3198.66,3246.24,3149.79,3244.60,000,3244.60
2014-04-01,3186.34,3230.33,3091.52,3198.39,000,3198.39
2014-03-03,3053.99,3172.43,3004.64,3161.60,000,3161.60
2014-02-03,2963.96,3157.48,2962.49,3149.23,000,3149.23
2014-01-02,3059.93,3168.76,3011.45,3013.96,000,3013.96
2013-12-02,3077.23,3111.37,2921.92,3109.00,000,3109.00
2013-11-01,3052.14,3092.42,3021.17,3086.64,000,3086.64
2013-10-01,2933.02,3067.95,2902.12,3067.95,000,3067.95
2013-09-02,2774.09,2936.20,2753.35,2893.15,000,2893.15
2013-08-01,2808.64,2854.27,2721.37,2721.37,000,2721.37
2013-07-01,2622.62,2768.15,2570.76,2768.15,000,2768.15
2013-06-03,2747.74,2755.70,2511.83,2602.59,000,2602.59
2013-05-01,2711.74,2835.87,2711.74,2769.64,000,2769.64
2013-04-02,2679.80,2717.38,2553.49,2712.00,000,2712.00
2013-03-01,2616.75,2744.70,2612.46,2624.02,000,2624.02
2013-02-01,2710.08,2710.08,2570.52,2633.55,000,2633.55
2013-01-02,2711.25,2749.27,2691.45,2702.98,000,2702.98
2012-12-03,2582.36,2659.95,2582.36,2635.93,000,2635.93
2012-11-01,2533.87,2581.69,2427.32,2575.25,000,2575.25
2012-10-01,2498.81,2574.19,2456.54,2503.64,000,2503.64
2012-09-03,2463.17,2594.56,2436.54,2454.26,000,2454.26
2012-08-01,2333.38,2490.27,2263.36,2440.71,000,2440.71
2012-07-02,2292.08,2340.31,2151.54,2325.72,000,2325.72
2012-06-01,2068.66,2264.72,2068.66,2264.72,000,2264.72
2012-05-01,2306.69,2306.69,2116.18,2118.94,000,2118.94
2012-04-02,2501.18,2501.18,2244.83,2306.43,000,2306.43
2012-03-01,2548.66,2608.42,2443.52,2477.28,000,2477.28
2012-02-01,2470.79,2550.28,2470.79,2512.11,000,2512.11
2012-01-02,2370.20,2460.40,2286.45,2416.66,000,2416.66
2011-12-01,2313.84,2369.39,2202.72,2316.55,000,2316.55
2011-11-01,2259.73,2347.94,2090.25,2330.43,000,2330.43
2011-10-03,2138.24,2476.92,2091.09,2385.22,000,2385.22
2011-09-01,2305.75,2305.75,1995.01,2179.66,000,2179.66
2011-08-01,2593.34,2593.34,2153.77,2302.08,000,2302.08
2011-07-01,2875.67,2875.67,2622.36,2670.37,000,2670.37
2011-06-01,2827.66,2848.53,2715.88,2848.53,000,2848.53
2011-05-02,3008.89,3008.89,2794.26,2861.92,000,2861.92
2011-04-01,2962.92,3011.25,2847.96,3011.25,000,3011.25
2011-03-01,2983.27,2983.27,2721.24,2910.91,000,2910.91
2011-02-01,3006.81,3068.00,2949.13,3013.09,000,3013.09
2011-01-03,2839.43,2989.75,2760.88,2953.63,000,2953.63
2010-12-01,2721.87,2876.99,2721.87,2792.82,000,2792.82
2010-11-01,2836.73,2890.64,2650.99,2650.99,000,2650.99
2010-10-01,2732.91,2882.29,2701.02,2844.99,000,2844.99
2010-09-01,2715.27,2806.47,2715.19,2747.90,000,2747.90
2010-08-02,2822.17,2827.27,2587.40,2622.95,000,2622.95
2010-07-01,2518.65,2769.31,2507.83,2742.14,000,2742.14
2010-06-01,2606.58,2768.27,2510.84,2573.32,000,2573.32
2010-05-03,2816.50,2816.50,2488.50,2610.26,000,2610.26
2010-04-01,2978.50,3012.65,2788.54,2816.86,000,2816.86
2010-03-01,2772.70,2947.49,2772.70,2931.16,000,2931.16
2010-02-01,2793.29,2830.01,2631.64,2728.47,000,2728.47
2010-01-04,3017.80,3017.85,2737.33,2776.83,000,2776.83
2009-12-01,2871.75,2992.08,2818.10,2964.96,000,2964.96
2009-11-02,2762.95,2926.15,2712.30,2797.25,000,2797.25
2009-10-01,2810.46,2950.82,2743.50,2743.50,000,2743.50
2009-09-01,2715.74,2899.12,2699.22,2872.63,000,2872.63
2009-08-03,2674.07,2803.65,2603.79,2775.17,000,2775.17
2009-07-01,2449.73,2654.74,2281.47,2638.13,000,2638.13
2009-06-01,2537.35,2537.35,2353.48,2401.69,000,2401.69
2009-05-01,2375.34,2487.17,2353.53,2451.24,000,2451.24
2009-04-01,2097.57,2375.34,2097.57,2375.34,000,2375.34
2009-03-02,1882.79,2156.97,1809.98,2071.13,000,2071.13
2009-02-02,2198.74,2348.95,1965.26,1976.23,000,1976.23
2009-01-02,2536.47,2578.43,2147.87,2236.98,000,2236.98
2008-12-01,2288.39,2495.58,2252.09,2447.62,000,2447.62
2008-11-03,2610.04,2755.12,2165.91,2430.31,000,2430.31
2008-10-01,3067.35,3113.82,2293.04,2591.76,000,2591.76
2008-09-01,3364.40,3416.46,3000.83,3038.20,000,3038.20
2008-08-01,3316.61,3445.66,3248.92,3365.63,000,3365.63
2008-07-01,3292.86,3387.50,3142.73,3367.82,000,3367.82
2008-06-02,3720.50,3737.34,3340.27,3352.81,000,3352.81
2008-05-01,3825.02,3882.28,3711.03,3777.85,000,3777.85
2008-04-01,3753.55,3828.46,3671.28,3825.02,000,3825.02
2008-03-03,3675.51,3684.54,3431.82,3628.06,000,3628.06
2008-02-01,3867.47,3867.47,3678.16,3724.50,000,3724.50
2008-01-02,4339.23,4339.23,3577.99,3792.80,000,3792.80
2007-12-04,4339.10,4469.47,4301.33,4399.72,000,4399.72
2007-11-01,4415.27,4415.27,4195.58,4394.95,000,4394.95
2007-10-01,4409.65,4489.79,4356.24,4489.79,000,4489.79
2007-09-03,4295.99,4389.33,4136.44,4381.71,000,4381.71
2007-08-01,4237.05,4364.22,4062.33,4294.56,000,4294.56
2007-07-02,4470.26,4557.57,4239.18,4315.69,000,4315.69
