Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,14.16,14.75,12.85,12.85,000,12.85
2014-11-03,14.41,15.93,11.91,13.33,000,13.33
2014-10-01,16.44,31.06,13.72,14.03,000,14.03
2014-09-02,12.32,17.08,11.52,16.31,000,16.31
2014-08-01,16.67,17.57,11.24,12.09,000,12.09
2014-07-01,11.28,17.11,10.28,16.95,000,16.95
2014-06-02,11.69,12.89,10.34,11.57,000,11.57
2014-05-01,13.64,14.49,11.32,11.40,000,11.40
2014-04-01,13.43,17.85,12.60,13.41,000,13.41
2014-03-03,16.47,18.22,13.46,13.88,000,13.88
2014-02-03,18.57,21.48,13.44,14.00,000,14.00
2014-01-02,14.32,18.99,11.81,18.41,000,18.41
2013-12-02,13.91,16.75,11.69,13.72,000,13.72
2013-11-01,13.46,14.14,11.99,13.70,000,13.70
2013-10-01,16.31,21.34,12.34,13.75,000,13.75
2013-09-03,16.47,17.49,12.52,16.60,000,16.60
2013-08-01,12.89,17.81,11.83,17.01,000,17.01
2013-07-01,16.90,17.32,12.07,13.45,000,13.45
2013-06-03,16.40,21.91,14.96,16.86,000,16.86
2013-05-01,13.88,16.35,12.26,16.30,000,16.30
2013-04-01,13.46,18.20,11.99,13.52,000,13.52
2013-03-01,16.10,16.82,11.05,12.70,000,12.70
2013-02-01,13.37,19.28,12.08,15.51,000,15.51
2013-01-02,15.24,15.93,12.29,14.38,000,14.38
2012-12-03,15.81,22.72,15.41,18.02,000,18.02
2012-11-01,17.77,19.40,14.77,15.87,000,15.87
2012-10-01,16.03,19.65,13.67,18.60,000,18.60
2012-09-04,18.65,18.96,13.51,15.73,000,15.73
2012-08-01,18.80,19.25,13.30,17.47,000,17.47
2012-07-02,17.62,21.00,15.45,18.93,000,18.93
2012-06-01,25.87,27.73,16.77,17.08,000,17.08
2012-05-01,17.27,25.46,16.01,24.06,000,24.06
2012-04-02,16.35,21.06,15.02,17.15,000,17.15
2012-03-01,18.02,21.24,13.66,15.50,000,15.50
2012-02-01,18.68,21.98,16.10,18.43,000,18.43
2012-01-03,22.95,23.73,16.80,19.44,000,19.44
2011-12-01,27.63,30.91,20.34,23.40,000,23.40
2011-11-01,36.03,37.53,27.03,27.80,000,27.80
2011-10-03,44.25,46.88,24.44,29.96,000,29.96
2011-09-01,31.91,43.87,30.43,42.96,000,42.96
2011-08-01,22.63,48.00,22.46,31.62,000,31.62
2011-07-01,16.06,25.94,15.12,25.25,000,25.25
2011-06-01,15.95,24.65,15.88,16.52,000,16.52
2011-05-02,15.07,20.03,15.07,15.45,000,15.45
2011-04-01,16.68,19.07,14.27,14.75,000,14.75
2011-03-01,17.63,31.28,17.07,17.74,000,17.74
2011-02-01,18.59,23.22,14.86,18.35,000,18.35
2011-01-03,17.94,20.08,15.37,19.53,000,19.53
2010-12-01,21.19,21.43,15.40,17.75,000,17.75
2010-11-01,21.65,23.84,17.76,23.54,000,23.54
2010-10-01,22.90,24.34,17.90,21.20,000,21.20
2010-09-01,25.13,25.13,20.85,23.70,000,23.70
2010-08-02,23.07,28.92,21.36,26.05,000,26.05
2010-07-01,34.41,37.58,21.86,23.50,000,23.50
2010-06-01,34.87,37.38,22.87,34.54,000,34.54
2010-05-03,22.41,48.20,19.61,32.07,000,32.07
2010-04-01,17.01,23.20,15.23,22.05,000,22.05
2010-03-01,19.93,19.94,16.17,17.59,000,17.59
2010-02-01,24.33,29.22,19.32,19.50,000,19.50
2010-01-04,21.68,28.01,16.86,24.62,000,24.62
2009-12-01,24.51,24.51,19.25,21.68,000,21.68
2009-11-02,30.70,31.84,20.05,24.51,000,24.51
2009-10-01,25.98,31.59,20.10,30.69,000,30.69
2009-09-01,26.01,29.57,22.19,25.61,000,25.61
2009-08-03,25.92,28.39,22.58,26.01,000,26.01
2009-07-01,25.73,33.05,23.00,25.92,000,25.92
2009-06-01,28.70,32.77,25.02,26.35,000,26.35
2009-05-01,36.50,36.88,26.57,28.92,000,28.92
2009-04-01,45.42,45.60,33.68,36.50,000,36.50
2009-03-02,49.96,53.25,38.79,44.14,000,44.14
2009-02-02,49.42,53.16,40.73,46.35,000,46.35
2009-01-02,39.58,57.36,33.76,44.84,000,44.84
2008-12-01,60.47,68.60,37.96,40.00,000,40.00
